year,cbsa,cbsatitle,indicator,topmetro,metrosize,value,overallrank,rankbysize
2009-2019,34580,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.01147,,
2009-2019,34620,"Muncie, IN Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.029676,,
2009-2019,34660,"Murray, KY Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.018053,,
2009-2019,34700,"Muscatine, IA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.009337,,
2009-2019,34740,"Muskegon, MI Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.02117,,
2009-2019,34780,"Muskogee, OK Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.088546,,
2009-2019,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,0.029374,170,64
2009-2019,34860,"Nacogdoches, TX Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.078336,,
2009-2019,34900,"Napa, CA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.159412,,
2009-2019,34940,"Naples-Marco Island, FL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,0.017081,157,56
2009-2019,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.044061,18,5
2009-2019,35020,"Natchez, MS-LA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.096916,,
2009-2019,35060,"Natchitoches, LA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.172462,,
2009-2019,35100,"New Bern, NC Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.034429,,
2009-2019,35140,"Newberry, SC Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.124989,,
2009-2019,35220,"New Castle, IN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.11885,,
2009-2019,35260,"New Castle, PA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.02165,,
2009-2019,35300,"New Haven-Milford, CT Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,0.005507,132,40
2009-2019,35380,"New Orleans-Metairie, LA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.04668,12,2
2009-2019,35420,"New Philadelphia-Dover, OH Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.001086,,
2009-2019,35440,"Newport, OR Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.039697,,
2009-2019,35460,"Newport, TN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.108194,,
2009-2019,35580,"New Ulm, MN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.01062,,
2009-2019,35620,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.015852,71,26
2009-2019,35660,"Niles, MI Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.055155,,
2009-2019,35700,"Nogales, AZ Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.008428,,
2009-2019,35740,"Norfolk, NE Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.02214,,
2009-2019,35820,"North Platte, NE Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.014952,,
2009-2019,35840,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,0.016634,155,49
2009-2019,35860,"North Vernon, IN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.091075,,
2009-2019,35900,"North Wilkesboro, NC Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.028208,,
2009-2019,35940,"Norwalk, OH Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.003893,,
2009-2019,35980,"Norwich-New London, CT Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,-0.0494,9,6
2009-2019,36020,"Oak Harbor, WA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.009776,,
2009-2019,36100,"Ocala, FL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,0.041039,179,71
2009-2019,36140,"Ocean City, NJ Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.014292,,
2009-2019,36220,"Odessa, TX Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.116401,,
2009-2019,36260,"Ogden-Clearfield, UT Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,0.00179,126,38
2009-2019,36300,"Ogdensburg-Massena, NY Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.024887,,
2009-2019,36340,"Oil City, PA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.029464,,
2009-2019,36380,"Okeechobee, FL Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.181867,,
2009-2019,36420,"Oklahoma City, OK Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.002369,116,44
2009-2019,36460,"Olean, NY Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.003043,,
2009-2019,36500,"Olympia-Lacey-Tumwater, WA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,-0.022232,54,20
2009-2019,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,-0.026959,41,12
2009-2019,36580,"Oneonta, NY Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.008253,,
2009-2019,36620,"Ontario, OR-ID Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.079994,,
2009-2019,36660,"Opelousas, LA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.026032,,
2009-2019,36700,"Orangeburg, SC Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.0148,,
2009-2019,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.003915,109,40
2009-2019,36780,"Oshkosh-Neenah, WI Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.059735,,
2009-2019,36820,"Oskaloosa, IA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.025156,,
2009-2019,36830,"Othello, WA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.004272,,
2009-2019,36840,"Ottawa, KS Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.013737,,
2009-2019,36860,"Ottawa, IL Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.068848,,
2009-2019,36900,"Ottumwa, IA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.028033,,
2009-2019,36940,"Owatonna, MN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.088629,,
2009-2019,36980,"Owensboro, KY Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.053347,,
2009-2019,37060,"Oxford, MS Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.01386,,
2009-2019,37100,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,-0.029654,37,11
2009-2019,37120,"Ozark, AL Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.040953,,
2009-2019,37140,"Paducah, KY-IL Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.005119,,
2009-2019,37220,"Pahrump, NV Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.111059,,
2009-2019,37260,"Palatka, FL Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.027181,,
2009-2019,37300,"Palestine, TX Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.078207,,
2009-2019,37340,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,0.016645,156,50
2009-2019,37420,"Pampa, TX Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.022848,,
2009-2019,37460,"Panama City, FL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.057884,,
2009-2019,37500,"Paragould, AR Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.089031,,
2009-2019,37540,"Paris, TN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.04128,,
2009-2019,37580,"Paris, TX Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.041245,,
2009-2019,37620,"Parkersburg-Vienna, WV Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.028523,,
2009-2019,37660,"Parsons, KS Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.01892,,
2009-2019,37740,"Payson, AZ Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.022611,,
2009-2019,37770,"Pearsall, TX Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,,,
2009-2019,37780,"Pecos, TX Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.043162,,
2009-2019,37800,"Pella, IA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.013235,,
2009-2019,37860,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,-0.02445,46,14
2009-2019,37900,"Peoria, IL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,0.012864,149,51
2009-2019,37940,"Peru, IN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.031479,,
2009-2019,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.034276,30,9
2009-2019,38060,"Phoenix-Mesa-Chandler, AZ Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.010212,88,32
2009-2019,38100,"Picayune, MS Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.013411,,
2009-2019,38180,"Pierre, SD Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.098028,,
2009-2019,38220,"Pine Bluff, AR Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.015509,,
2009-2019,38240,"Pinehurst-Southern Pines, NC Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.007282,,
2009-2019,38260,"Pittsburg, KS Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.027688,,
2009-2019,38300,"Pittsburgh, PA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.00302,114,42
2009-2019,38340,"Pittsfield, MA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.002413,,
2009-2019,38380,"Plainview, TX Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.152757,,
2009-2019,38420,"Platteville, WI Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.009141,,
2009-2019,38460,"Plattsburgh, NY Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.012476,,
2009-2019,38500,"Plymouth, IN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.064734,,
2009-2019,38540,"Pocatello, ID Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.034414,,
2009-2019,38580,"Point Pleasant, WV-OH Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.037129,,
2009-2019,38620,"Ponca City, OK Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.002012,,
2009-2019,38700,"Pontiac, IL Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.003091,,
2009-2019,38740,"Poplar Bluff, MO Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.008893,,
2009-2019,38780,"Portales, NM Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,,,
2009-2019,38820,"Port Angeles, WA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.05571,,
2009-2019,38860,"Portland-South Portland, ME Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,-0.011727,80,27
2009-2019,38900,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,0.003323,129,47
2009-2019,38920,"Port Lavaca, TX Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.133757,,
2009-2019,38940,"Port St. Lucie, FL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,-0.038479,24,13
2009-2019,39020,"Portsmouth, OH Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.031482,,
2009-2019,39060,"Pottsville, PA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.056544,,
2009-2019,39100,"Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,-0.044962,15,4
2009-2019,39140,"Prescott Valley-Prescott, AZ Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.021501,,
2009-2019,39220,"Price, UT Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.014116,,
2009-2019,39260,"Prineville, OR Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,,,
2009-2019,39300,"Providence-Warwick, RI-MA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,0.004216,130,48
2009-2019,39340,"Provo-Orem, UT Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,-0.044219,16,5
2009-2019,39380,"Pueblo, CO Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.016558,,
2009-2019,39420,"Pullman, WA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.081491,,
2009-2019,39460,"Punta Gorda, FL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.050956,,
2009-2019,39500,"Quincy, IL-MO Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.026709,,
2009-2019,39540,"Racine, WI Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.023279,,
2009-2019,39580,"Raleigh-Cary, NC Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.026666,42,14
2009-2019,39660,"Rapid City, SD Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.042459,,
2009-2019,39700,"Raymondville, TX Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.002836,,
2009-2019,39740,"Reading, PA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,-0.006447,102,32
2009-2019,39780,"Red Bluff, CA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.044464,,
2009-2019,39820,"Redding, CA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.02708,,
2009-2019,39860,"Red Wing, MN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.050708,,
2009-2019,39900,"Reno, NV Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,0.01277,147,49
2009-2019,39940,"Rexburg, ID Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.075093,,
2009-2019,39980,"Richmond, IN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.005411,,
2009-2019,40060,"Richmond, VA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.07151,5,1
2009-2019,40080,"Richmond-Berea, KY Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.019564,,
2009-2019,40100,"Rio Grande City-Roma, TX Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.006358,,
2009-2019,40140,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.009095,93,35
2009-2019,40180,"Riverton, WY Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.01517,,
2009-2019,40220,"Roanoke, VA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,-0.041382,20,10
2009-2019,40260,"Roanoke Rapids, NC Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.013166,,
2009-2019,40300,"Rochelle, IL Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.051249,,
2009-2019,40340,"Rochester, MN Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.013872,,
2009-2019,40380,"Rochester, NY Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.016118,69,25
2009-2019,40420,"Rockford, IL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,-0.045923,13,8
2009-2019,40460,"Rockingham, NC Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.001137,,
2009-2019,40530,"Rockport, TX Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.118006,,
2009-2019,40540,"Rock Springs, WY Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.022634,,
2009-2019,40580,"Rocky Mount, NC Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.08463,,
2009-2019,40620,"Rolla, MO Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.058264,,
2009-2019,40660,"Rome, GA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.020951,,
2009-2019,40700,"Roseburg, OR Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.008168,,
2009-2019,40740,"Roswell, NM Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.047028,,
2009-2019,40760,"Ruidoso, NM Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.007226,,
2009-2019,40780,"Russellville, AR Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.045023,,
2009-2019,40820,"Ruston, LA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.048294,,
2009-2019,40860,"Rutland, VT Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.018042,,
2009-2019,40900,"Sacramento-Roseville-Folsom, CA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.020614,59,18
2009-2019,40940,"Safford, AZ Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.026243,,
2009-2019,40980,"Saginaw, MI Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.030876,,
2009-2019,41060,"St. Cloud, MN Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.045878,,
2009-2019,41100,"St. George, UT Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.010527,,
2009-2019,41140,"St. Joseph, MO-KS Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.050363,,
2009-2019,41180,"St. Louis, MO-IL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.031976,33,10
2009-2019,41220,"St. Marys, GA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.180809,,
2009-2019,41260,"St. Marys, PA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.030116,,
2009-2019,41400,"Salem, OH Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.017246,,
2009-2019,41420,"Salem, OR Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,-0.026186,43,17
2009-2019,41460,"Salina, KS Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.003645,,
2009-2019,41500,"Salinas, CA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,-0.048538,11,7
2009-2019,41540,"Salisbury, MD-DE Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,0.056946,186,77
2009-2019,41620,"Salt Lake City, UT Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.020357,62,19
2009-2019,41660,"San Angelo, TX Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.002363,,
2009-2019,41700,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.038308,25,6
2009-2019,41740,"San Diego-Chula Vista-Carlsbad, CA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.025286,45,15
2009-2019,41760,"Sandpoint, ID Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.015882,,
2009-2019,41780,"Sandusky, OH Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.055655,,
2009-2019,41820,"Sanford, NC Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.024666,,
2009-2019,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area ",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.044068,17,4
2009-2019,41940,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.037213,28,7
2009-2019,42020,"San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,-0.027202,40,16
2009-2019,42100,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,0.029529,171,65
2009-2019,42140,"Santa Fe, NM Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.028656,,
2009-2019,42200,"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,0.015702,154,55
2009-2019,42220,"Santa Rosa-Petaluma, CA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,-0.007961,99,29
2009-2019,42300,"Sault Ste. Marie, MI Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.204446,,
2009-2019,42340,"Savannah, GA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,-0.090695,2,2
2009-2019,42380,"Sayre, PA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.013192,,
2009-2019,42420,"Scottsbluff, NE Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.015182,,
2009-2019,42460,"Scottsboro, AL Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.021632,,
2009-2019,42500,"Scottsburg, IN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.07975,,
2009-2019,42540,"Scranton--Wilkes-Barre, PA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,0.031291,172,54
2009-2019,42620,"Searcy, AR Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.070323,,
2009-2019,42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.009799,90,33
2009-2019,42680,"Sebastian-Vero Beach, FL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.002428,,
2009-2019,42700,"Sebring-Avon Park, FL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.125317,,
2009-2019,42740,"Sedalia, MO Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.009499,,
2009-2019,42780,"Selinsgrove, PA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.16168,,
2009-2019,42820,"Selma, AL Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.019125,,
2009-2019,42860,"Seneca, SC Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.057186,,
2009-2019,42900,"Seneca Falls, NY Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.048777,,
2009-2019,42940,"Sevierville, TN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.048207,,
2009-2019,42980,"Seymour, IN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.030388,,
2009-2019,43020,"Shawano, WI Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.035187,,
2009-2019,43060,"Shawnee, OK Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.017874,,
2009-2019,43100,"Sheboygan, WI Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.016697,,
2009-2019,43140,"Shelby, NC Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.019635,,
2009-2019,43180,"Shelbyville, TN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.072199,,
2009-2019,43220,"Shelton, WA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.048096,,
2009-2019,43260,"Sheridan, WY Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.045068,,
2009-2019,43300,"Sherman-Denison, TX Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.013558,,
2009-2019,43320,"Show Low, AZ Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.028394,,
