year,cbsa,cbsa_name,indicator,value,topmetro,metrosize,overallrank,sizerank
2018-2019,33740,"Monroe, LA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.033945892,0,,,
2009-2019,33780,"Monroe, MI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.14596182,0,,,
2014-2019,33780,"Monroe, MI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.0093717463,0,,,
2018-2019,33780,"Monroe, MI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.11503068,0,,,
2009-2019,33860,"Montgomery, AL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.21058619,1,Midsized,168,69
2014-2019,33860,"Montgomery, AL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.14581111,1,Midsized,182,78
2018-2019,33860,"Montgomery, AL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.0060154679,1,Midsized,148,62
2009-2019,34060,"Morgantown, WV Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.060806859,0,,,
2014-2019,34060,"Morgantown, WV Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.028623261,0,,,
2018-2019,34060,"Morgantown, WV Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.059120879,0,,,
2009-2019,34100,"Morristown, TN Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.29315263,0,,,
2014-2019,34100,"Morristown, TN Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.048677251,0,,,
2018-2019,34100,"Morristown, TN Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.0047313282,0,,,
2009-2019,34580,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.10060206,0,,,
2014-2019,34580,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.24556214,0,,,
2018-2019,34580,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.030714445,0,,,
2009-2019,34620,"Muncie, IN Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.32089755,0,,,
2014-2019,34620,"Muncie, IN Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.17531188,0,,,
2018-2019,34620,"Muncie, IN Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.010634108,0,,,
2009-2019,34740,"Muskegon, MI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.088637434,0,,,
2014-2019,34740,"Muskegon, MI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.026906827,0,,,
2018-2019,34740,"Muskegon, MI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.042901553,0,,,
2009-2019,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.0059775328,1,Midsized,106,40
2014-2019,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.25880972,1,Midsized,30,16
2018-2019,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.063571706,1,Midsized,53,29
2009-2019,34900,"Napa, CA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.13123791,0,,,
2014-2019,34900,"Napa, CA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.034501292,0,,,
2018-2019,34900,"Napa, CA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.017557772,0,,,
2009-2019,34940,"Naples-Marco Island, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.15242694,1,Midsized,29,14
2014-2019,34940,"Naples-Marco Island, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.08007431,1,Midsized,130,55
2018-2019,34940,"Naples-Marco Island, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.019799411,1,Midsized,165,69
2009-2019,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.32345,1,Very Large,5,2
2014-2019,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.35013798,1,Very Large,13,2
2018-2019,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.059935216,1,Very Large,57,7
2009-2019,35100,"New Bern, NC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.47897664,0,,,
2014-2019,35100,"New Bern, NC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.16654804,0,,,
2018-2019,35100,"New Bern, NC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.087279484,0,,,
2009-2019,35300,"New Haven-Milford, CT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.077912256,1,Large,132,40
2014-2019,35300,"New Haven-Milford, CT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.00032090099,1,Large,161,46
2018-2019,35300,"New Haven-Milford, CT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.0076452061,1,Large,151,41
2009-2019,35380,"New Orleans-Metairie, LA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.001591856,1,Very Large,101,37
2014-2019,35380,"New Orleans-Metairie, LA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.002212757,1,Very Large,162,50
2018-2019,35380,"New Orleans-Metairie, LA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.051311444,1,Very Large,75,14
2009-2019,35620,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.20881353,1,Very Large,16,6
2014-2019,35620,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.14522575,1,Very Large,90,25
2018-2019,35620,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.035880387,1,Very Large,92,22
2009-2019,35660,"Niles, MI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.11000597,0,,,
2014-2019,35660,"Niles, MI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.21287826,0,,,
2018-2019,35660,"Niles, MI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.0074307588,0,,,
2009-2019,35840,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.01502822,1,Large,110,31
2014-2019,35840,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.093842819,1,Large,119,37
2018-2019,35840,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.046350349,1,Large,179,52
2009-2019,35980,"Norwich-New London, CT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.18942872,1,Midsized,164,65
2014-2019,35980,"Norwich-New London, CT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.023665596,1,Midsized,168,70
2018-2019,35980,"Norwich-New London, CT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.04020736,1,Midsized,177,75
2009-2019,36100,"Ocala, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.012440123,1,Midsized,91,35
2014-2019,36100,"Ocala, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.24241094,1,Midsized,35,19
2018-2019,36100,"Ocala, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.053489063,1,Midsized,69,37
2009-2019,36140,"Ocean City, NJ Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.042891733,0,,,
2014-2019,36140,"Ocean City, NJ Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.29343629,0,,,
2018-2019,36140,"Ocean City, NJ Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.045584045,0,,,
2009-2019,36220,"Odessa, TX Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.26930693,0,,,
2014-2019,36220,"Odessa, TX Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.1075594,0,,,
2018-2019,36220,"Odessa, TX Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.16320744,0,,,
2009-2019,36260,"Ogden-Clearfield, UT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.023916231,1,Large,83,23
2014-2019,36260,"Ogden-Clearfield, UT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.11559462,1,Large,108,31
2018-2019,36260,"Ogden-Clearfield, UT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.015640154,1,Large,122,35
2009-2019,36420,"Oklahoma City, OK Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.13069648,1,Very Large,38,10
2014-2019,36420,"Oklahoma City, OK Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.2577714,1,Very Large,31,5
2018-2019,36420,"Oklahoma City, OK Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.11127362,1,Very Large,21,1
2009-2019,36500,"Olympia-Lacey-Tumwater, WA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.20656542,1,Midsized,18,7
2014-2019,36500,"Olympia-Lacey-Tumwater, WA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.4127337,1,Midsized,10,6
2018-2019,36500,"Olympia-Lacey-Tumwater, WA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.10944559,1,Midsized,23,16
2009-2019,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.072438255,1,Large,60,16
2014-2019,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.10724447,1,Large,111,32
2018-2019,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.035632342,1,Large,172,48
2009-2019,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.2224413,1,Very Large,13,4
2014-2019,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.19263634,1,Very Large,57,14
2018-2019,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.015317937,1,Very Large,123,37
2009-2019,36780,"Oshkosh-Neenah, WI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.17000668,0,,,
2014-2019,36780,"Oshkosh-Neenah, WI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.002408671,0,,,
2018-2019,36780,"Oshkosh-Neenah, WI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.018025398,0,,,
2009-2019,36980,"Owensboro, KY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.13289474,0,,,
2014-2019,36980,"Owensboro, KY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.12576281,0,,,
2018-2019,36980,"Owensboro, KY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.031944878,0,,,
2009-2019,37100,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.27940622,1,Large,177,50
2014-2019,37100,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.15275465,1,Large,183,53
2018-2019,37100,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.14829119,1,Large,185,54
2009-2019,37340,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.16064927,1,Large,25,7
2014-2019,37340,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.17969412,1,Large,64,19
2018-2019,37340,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.072262302,1,Large,45,17
2009-2019,37460,"Panama City, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.1821349,0,,,
2014-2019,37460,"Panama City, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.084643908,0,,,
2018-2019,37460,"Panama City, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.025390625,0,,,
2009-2019,37620,"Parkersburg-Vienna, WV Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.029339854,0,,,
2014-2019,37620,"Parkersburg-Vienna, WV Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.13151465,0,,,
2018-2019,37620,"Parkersburg-Vienna, WV Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,,0,,,
2009-2019,37860,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.035160828,1,Large,75,20
2014-2019,37860,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.16238941,1,Large,80,24
2018-2019,37860,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.03610532,1,Large,91,26
2009-2019,37900,"Peoria, IL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.35241583,1,Midsized,181,79
2014-2019,37900,"Peoria, IL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.012354359,1,Midsized,156,63
2018-2019,37900,"Peoria, IL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.0066919699,1,Midsized,137,57
2009-2019,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.13910365,1,Very Large,34,8
2014-2019,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.19884756,1,Very Large,54,12
2018-2019,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.043950245,1,Very Large,80,17
2009-2019,38060,"Phoenix-Mesa-Chandler, AZ Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.000084200001,1,Very Large,104,38
2014-2019,38060,"Phoenix-Mesa-Chandler, AZ Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.14997177,1,Very Large,87,24
2018-2019,38060,"Phoenix-Mesa-Chandler, AZ Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.042887583,1,Very Large,86,20
2009-2019,38220,"Pine Bluff, AR Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-1,0,,,
2014-2019,38220,"Pine Bluff, AR Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-1,0,,,
2018-2019,38220,"Pine Bluff, AR Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-1,0,,,
2009-2019,38300,"Pittsburgh, PA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.057070211,1,Very Large,65,22
2014-2019,38300,"Pittsburgh, PA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.27688032,1,Very Large,23,3
2018-2019,38300,"Pittsburgh, PA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.10088609,1,Very Large,30,2
2014-2019,38340,"Pittsfield, MA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.44523871,0,,,
2018-2019,38340,"Pittsfield, MA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.092435353,0,,,
2009-2019,38540,"Pocatello, ID Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.25996205,0,,,
2014-2019,38540,"Pocatello, ID Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.047448523,0,,,
2018-2019,38540,"Pocatello, ID Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.027216857,0,,,
2009-2019,38860,"Portland-South Portland, ME Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.10783135,1,Large,48,12
2014-2019,38860,"Portland-South Portland, ME Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.28567737,1,Large,20,7
2018-2019,38860,"Portland-South Portland, ME Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.1216137,1,Large,17,6
2009-2019,38900,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.20613235,1,Very Large,19,7
2014-2019,38900,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.24198875,1,Very Large,37,6
2018-2019,38900,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.0022925111,1,Very Large,139,42
2009-2019,38940,"Port St. Lucie, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.4952772,1,Midsized,3,3
2014-2019,38940,"Port St. Lucie, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.31753212,1,Midsized,16,9
2018-2019,38940,"Port St. Lucie, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.0026934489,1,Midsized,144,60
2009-2019,39100,"Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.21290615,1,Large,15,4
2014-2019,39100,"Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.19180587,1,Large,58,17
2018-2019,39100,"Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.032408599,1,Large,97,28
2009-2019,39140,"Prescott Valley-Prescott, AZ Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.18508233,0,,,
2014-2019,39140,"Prescott Valley-Prescott, AZ Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.30206022,0,,,
2018-2019,39140,"Prescott Valley-Prescott, AZ Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.0067393701,0,,,
2009-2019,39300,"Providence-Warwick, RI-MA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,,1,Very Large,,
2014-2019,39300,"Providence-Warwick, RI-MA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.10699372,1,Very Large,112,31
2018-2019,39300,"Providence-Warwick, RI-MA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.052377462,1,Very Large,72,13
2009-2019,39340,"Provo-Orem, UT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.12432572,1,Large,40,11
2014-2019,39340,"Provo-Orem, UT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.21510857,1,Large,47,13
2018-2019,39340,"Provo-Orem, UT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.0093371216,1,Large,132,38
2009-2019,39380,"Pueblo, CO Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.27766031,0,,,
2014-2019,39380,"Pueblo, CO Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.68808192,0,,,
2018-2019,39380,"Pueblo, CO Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.14240706,0,,,
2009-2019,39460,"Punta Gorda, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.15918086,0,,,
2014-2019,39460,"Punta Gorda, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.17339551,0,,,
2018-2019,39460,"Punta Gorda, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.052335396,0,,,
2009-2019,39540,"Racine, WI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.25537342,0,,,
2014-2019,39540,"Racine, WI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.58765262,0,,,
2018-2019,39540,"Racine, WI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.1126897,0,,,
2009-2019,39580,"Raleigh-Cary, NC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.10503,1,Very Large,49,14
2014-2019,39580,"Raleigh-Cary, NC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.19878151,1,Very Large,55,13
2018-2019,39580,"Raleigh-Cary, NC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.023868393,1,Very Large,109,32
2009-2019,39660,"Rapid City, SD Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.11997516,0,,,
2014-2019,39660,"Rapid City, SD Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.094172135,0,,,
2018-2019,39660,"Rapid City, SD Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.025872987,0,,,
2009-2019,39740,"Reading, PA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.020815328,1,Midsized,116,44
2014-2019,39740,"Reading, PA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.13547148,1,Midsized,94,42
2018-2019,39740,"Reading, PA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.054366373,1,Midsized,67,36
2009-2019,39820,"Redding, CA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.12727697,0,,,
2014-2019,39820,"Redding, CA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.19929397,0,,,
2018-2019,39820,"Redding, CA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.0087731136,0,,,
2009-2019,39900,"Reno, NV Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.12319309,1,Midsized,42,21
2014-2019,39900,"Reno, NV Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.51751882,1,Midsized,3,3
2018-2019,39900,"Reno, NV Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.10100669,1,Midsized,29,19
2009-2019,40060,"Richmond, VA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.11740464,1,Very Large,45,12
2014-2019,40060,"Richmond, VA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.22272329,1,Very Large,44,10
2018-2019,40060,"Richmond, VA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.048493512,1,Very Large,77,15
2009-2019,40140,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.00336816,1,Very Large,99,36
2014-2019,40140,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.22348191,1,Very Large,43,9
2018-2019,40140,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.044989754,1,Very Large,79,16
2009-2019,40220,"Roanoke, VA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.12406763,1,Midsized,147,57
2014-2019,40220,"Roanoke, VA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.16823256,1,Midsized,72,32
2018-2019,40220,"Roanoke, VA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.02264151,1,Midsized,113,48
2009-2019,40340,"Rochester, MN Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.14103548,0,,,
2014-2019,40340,"Rochester, MN Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.090281859,0,,,
2018-2019,40340,"Rochester, MN Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.031241322,0,,,
2009-2019,40380,"Rochester, NY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.031702351,1,Very Large,121,41
2014-2019,40380,"Rochester, NY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.056446288,1,Very Large,143,44
2018-2019,40380,"Rochester, NY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.04091353,1,Very Large,90,21
2009-2019,40420,"Rockford, IL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.2631118,1,Midsized,176,77
2014-2019,40420,"Rockford, IL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.009596929,1,Midsized,158,65
2018-2019,40420,"Rockford, IL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.0062171211,1,Midsized,138,58
2009-2019,40580,"Rocky Mount, NC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.0031722791,0,,,
2014-2019,40580,"Rocky Mount, NC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.039704759,0,,,
2018-2019,40580,"Rocky Mount, NC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.24013357,0,,,
2009-2019,40660,"Rome, GA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.34676337,0,,,
2014-2019,40660,"Rome, GA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.25238243,0,,,
2018-2019,40660,"Rome, GA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.014601585,0,,,
2009-2019,40900,"Sacramento-Roseville-Folsom, CA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.091178164,1,Very Large,137,45
2014-2019,40900,"Sacramento-Roseville-Folsom, CA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.2406323,1,Very Large,38,7
2018-2019,40900,"Sacramento-Roseville-Folsom, CA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.023955489,1,Very Large,108,31
2009-2019,40980,"Saginaw, MI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.2307433,0,,,
2014-2019,40980,"Saginaw, MI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.12382415,0,,,
2018-2019,40980,"Saginaw, MI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.0037387291,0,,,
2009-2019,41060,"St. Cloud, MN Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.19447173,0,,,
2014-2019,41060,"St. Cloud, MN Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.25062004,0,,,
2018-2019,41060,"St. Cloud, MN Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.062081359,0,,,
2009-2019,41100,"St. George, UT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.19309768,0,,,
2014-2019,41100,"St. George, UT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.16649154,0,,,
2018-2019,41100,"St. George, UT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.020843977,0,,,
2009-2019,41140,"St. Joseph, MO-KS Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.65618324,0,,,
2014-2019,41140,"St. Joseph, MO-KS Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.059415583,0,,,
2018-2019,41140,"St. Joseph, MO-KS Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.23054449,0,,,
