year,cbsa,cbsaname,education,indicator,value,topmetro,metrosize,overallrank,sizerank
2018-2019,27500,"Janesville-Beloit, WI",Total,Change in Median Earnings Gap,19428.35,0,,,
2009-2019,27530,"Jasper, AL",Total,Change in Median Earnings Gap,3192.6201,0,,,
2014-2019,27530,"Jasper, AL",Total,Change in Median Earnings Gap,9077.3701,0,,,
2018-2019,27530,"Jasper, AL",Total,Change in Median Earnings Gap,-882.47998,0,,,
2009-2019,27540,"Jasper, IN",Total,Change in Median Earnings Gap,-5100.3999,0,,,
2014-2019,27540,"Jasper, IN",Total,Change in Median Earnings Gap,-5237.8799,0,,,
2018-2019,27540,"Jasper, IN",Total,Change in Median Earnings Gap,2877.6001,0,,,
2009-2019,27620,"Jefferson City, MO",Total,Change in Median Earnings Gap,-6215.48,0,,,
2014-2019,27620,"Jefferson City, MO",Total,Change in Median Earnings Gap,-3100.6299,0,,,
2018-2019,27620,"Jefferson City, MO",Total,Change in Median Earnings Gap,-2934.0901,0,,,
2009-2019,27600,"Jefferson, GA",Total,Change in Median Earnings Gap,-6521.2798,0,,,
2014-2019,27600,"Jefferson, GA",Total,Change in Median Earnings Gap,-326.32999,0,,,
2018-2019,27600,"Jefferson, GA",Total,Change in Median Earnings Gap,-845.09998,0,,,
2009-2019,27660,"Jennings, LA",Total,Change in Median Earnings Gap,13382.41,0,,,
2014-2019,27660,"Jennings, LA",Total,Change in Median Earnings Gap,10692.97,0,,,
2018-2019,27660,"Jennings, LA",Total,Change in Median Earnings Gap,2823.24,0,,,
2009-2019,27700,"Jesup, GA",Total,Change in Median Earnings Gap,1243.95,0,,,
2014-2019,27700,"Jesup, GA",Total,Change in Median Earnings Gap,-1617.9399,0,,,
2018-2019,27700,"Jesup, GA",Total,Change in Median Earnings Gap,5982.4199,0,,,
2009-2019,27740,"Johnson City, TN",Total,Change in Median Earnings Gap,3106.51,0,,,
2014-2019,27740,"Johnson City, TN",Total,Change in Median Earnings Gap,-875.03998,0,,,
2018-2019,27740,"Johnson City, TN",Total,Change in Median Earnings Gap,1894.72,0,,,
2009-2019,27780,"Johnstown, PA",Total,Change in Median Earnings Gap,15026.73,0,,,
2014-2019,27780,"Johnstown, PA",Total,Change in Median Earnings Gap,5454.8901,0,,,
2018-2019,27780,"Johnstown, PA",Total,Change in Median Earnings Gap,4054.1101,0,,,
2009-2019,27860,"Jonesboro, AR",Total,Change in Median Earnings Gap,2525.21,0,,,
2014-2019,27860,"Jonesboro, AR",Total,Change in Median Earnings Gap,2471.3799,0,,,
2018-2019,27860,"Jonesboro, AR",Total,Change in Median Earnings Gap,5333.0298,0,,,
2009-2019,27900,"Joplin, MO",Total,Change in Median Earnings Gap,5659.8999,0,,,
2014-2019,27900,"Joplin, MO",Total,Change in Median Earnings Gap,3651.4399,0,,,
2018-2019,27900,"Joplin, MO",Total,Change in Median Earnings Gap,2019.23,0,,,
2009-2019,27940,"Juneau, AK",Total,Change in Median Earnings Gap,-5508.7798,0,,,
2014-2019,27940,"Juneau, AK",Total,Change in Median Earnings Gap,-5056.7998,0,,,
2018-2019,27940,"Juneau, AK",Total,Change in Median Earnings Gap,12455.89,0,,,
2009-2019,27980,"Kahului-Wailuku-Lahaina, HI",Total,Change in Median Earnings Gap,1750.98,0,,,
2014-2019,27980,"Kahului-Wailuku-Lahaina, HI",Total,Change in Median Earnings Gap,-12770.49,0,,,
2018-2019,27980,"Kahului-Wailuku-Lahaina, HI",Total,Change in Median Earnings Gap,-8375.1699,0,,,
2009-2019,28020,"Kalamazoo-Portage, MI",Total,Change in Median Earnings Gap,9892.4102,1,Midsized,190,80
2014-2019,28020,"Kalamazoo-Portage, MI",Total,Change in Median Earnings Gap,124.29,1,Midsized,98,40
2018-2019,28020,"Kalamazoo-Portage, MI",Total,Change in Median Earnings Gap,-6572.02,1,Midsized,9,5
2009-2019,28060,"Kalispell, MT",Total,Change in Median Earnings Gap,-4835.3198,0,,,
2014-2019,28060,"Kalispell, MT",Total,Change in Median Earnings Gap,-8509.1104,0,,,
2018-2019,28060,"Kalispell, MT",Total,Change in Median Earnings Gap,-8348.54,0,,,
2009-2019,28100,"Kankakee, IL",Total,Change in Median Earnings Gap,-5322.2998,0,,,
2014-2019,28100,"Kankakee, IL",Total,Change in Median Earnings Gap,531.21997,0,,,
2018-2019,28100,"Kankakee, IL",Total,Change in Median Earnings Gap,-11792.51,0,,,
2009-2019,28140,"Kansas City, MO-KS",Total,Change in Median Earnings Gap,-1806.97,1,Very Large,50,8
2014-2019,28140,"Kansas City, MO-KS",Total,Change in Median Earnings Gap,-1837.3199,1,Very Large,43,10
2018-2019,28140,"Kansas City, MO-KS",Total,Change in Median Earnings Gap,639.78998,1,Very Large,116,36
2009-2019,28180,"Kapaa, HI",Total,Change in Median Earnings Gap,1739.7,0,,,
2014-2019,28180,"Kapaa, HI",Total,Change in Median Earnings Gap,-12770.58,0,,,
2018-2019,28180,"Kapaa, HI",Total,Change in Median Earnings Gap,-8377.1904,0,,,
2009-2019,28260,"Kearney, NE",Total,Change in Median Earnings Gap,3014.1599,0,,,
2014-2019,28260,"Kearney, NE",Total,Change in Median Earnings Gap,-4418.2202,0,,,
2018-2019,28260,"Kearney, NE",Total,Change in Median Earnings Gap,-2033.71,0,,,
2009-2019,28300,"Keene, NH",Total,Change in Median Earnings Gap,-12411.76,0,,,
2014-2019,28300,"Keene, NH",Total,Change in Median Earnings Gap,4893.8901,0,,,
2018-2019,28300,"Keene, NH",Total,Change in Median Earnings Gap,-8709.2197,0,,,
2009-2019,28340,"Kendallville, IN",Total,Change in Median Earnings Gap,-2440.71,0,,,
2014-2019,28340,"Kendallville, IN",Total,Change in Median Earnings Gap,1941,0,,,
2018-2019,28340,"Kendallville, IN",Total,Change in Median Earnings Gap,-10163.73,0,,,
2009-2019,28380,"Kennett, MO",Total,Change in Median Earnings Gap,3564.9099,0,,,
2014-2019,28380,"Kennett, MO",Total,Change in Median Earnings Gap,173.16,0,,,
2018-2019,28380,"Kennett, MO",Total,Change in Median Earnings Gap,-7457.8901,0,,,
2009-2019,28420,"Kennewick-Richland, WA",Total,Change in Median Earnings Gap,5819.3198,1,Midsized,178,74
2014-2019,28420,"Kennewick-Richland, WA",Total,Change in Median Earnings Gap,8717.9004,1,Midsized,192,82
2018-2019,28420,"Kennewick-Richland, WA",Total,Change in Median Earnings Gap,7905.6499,1,Midsized,189,80
2009-2019,28500,"Kerrville, TX",Total,Change in Median Earnings Gap,2301.79,0,,,
2014-2019,28500,"Kerrville, TX",Total,Change in Median Earnings Gap,-2496.79,0,,,
2018-2019,28500,"Kerrville, TX",Total,Change in Median Earnings Gap,3396.8101,0,,,
2009-2019,28540,"Ketchikan, AK",Total,Change in Median Earnings Gap,-5504.9102,0,,,
2014-2019,28540,"Ketchikan, AK",Total,Change in Median Earnings Gap,-4887.5898,0,,,
2018-2019,28540,"Ketchikan, AK",Total,Change in Median Earnings Gap,12947.7,0,,,
2009-2019,28580,"Key West, FL",Total,Change in Median Earnings Gap,4980.79,0,,,
2014-2019,28580,"Key West, FL",Total,Change in Median Earnings Gap,369.56,0,,,
2018-2019,28580,"Key West, FL",Total,Change in Median Earnings Gap,-2217.72,0,,,
2009-2019,28620,"Kill Devil Hills, NC",Total,Change in Median Earnings Gap,-4120.1401,0,,,
2014-2019,28620,"Kill Devil Hills, NC",Total,Change in Median Earnings Gap,-716.39001,0,,,
2018-2019,28620,"Kill Devil Hills, NC",Total,Change in Median Earnings Gap,6853.75,0,,,
2009-2019,28660,"Killeen-Temple, TX",Total,Change in Median Earnings Gap,3771.3401,1,Midsized,164,69
2014-2019,28660,"Killeen-Temple, TX",Total,Change in Median Earnings Gap,2322.75,1,Midsized,150,60
2018-2019,28660,"Killeen-Temple, TX",Total,Change in Median Earnings Gap,-2970.01,1,Midsized,32,16
2009-2019,28700,"Kingsport-Bristol, TN-VA",Total,Change in Median Earnings Gap,8999.5498,1,Midsized,188,78
2014-2019,28700,"Kingsport-Bristol, TN-VA",Total,Change in Median Earnings Gap,-155.57001,1,Midsized,88,34
2018-2019,28700,"Kingsport-Bristol, TN-VA",Total,Change in Median Earnings Gap,-1349.37,1,Midsized,65,27
2009-2019,28740,"Kingston, NY",Total,Change in Median Earnings Gap,-6412.0298,0,,,
2014-2019,28740,"Kingston, NY",Total,Change in Median Earnings Gap,1707.58,0,,,
2018-2019,28740,"Kingston, NY",Total,Change in Median Earnings Gap,-5311.48,0,,,
2009-2019,28780,"Kingsville, TX",Total,Change in Median Earnings Gap,19428.01,0,,,
2014-2019,28780,"Kingsville, TX",Total,Change in Median Earnings Gap,15913.33,0,,,
2018-2019,28780,"Kingsville, TX",Total,Change in Median Earnings Gap,-8561.1504,0,,,
2009-2019,28820,"Kinston, NC",Total,Change in Median Earnings Gap,-8557,0,,,
2014-2019,28820,"Kinston, NC",Total,Change in Median Earnings Gap,-6622.73,0,,,
2018-2019,28820,"Kinston, NC",Total,Change in Median Earnings Gap,-2801.6201,0,,,
2009-2019,28860,"Kirksville, MO",Total,Change in Median Earnings Gap,6203.8101,0,,,
2014-2019,28860,"Kirksville, MO",Total,Change in Median Earnings Gap,-10401.61,0,,,
2018-2019,28860,"Kirksville, MO",Total,Change in Median Earnings Gap,-11604.46,0,,,
2009-2019,28900,"Klamath Falls, OR",Total,Change in Median Earnings Gap,3064.6001,0,,,
2014-2019,28900,"Klamath Falls, OR",Total,Change in Median Earnings Gap,1543.72,0,,,
2018-2019,28900,"Klamath Falls, OR",Total,Change in Median Earnings Gap,4326.5098,0,,,
2009-2019,28940,"Knoxville, TN",Total,Change in Median Earnings Gap,869.53998,1,Large,111,39
2014-2019,28940,"Knoxville, TN",Total,Change in Median Earnings Gap,-1633.15,1,Large,46,17
2018-2019,28940,"Knoxville, TN",Total,Change in Median Earnings Gap,-2580.47,1,Large,40,13
2009-2019,29020,"Kokomo, IN",Total,Change in Median Earnings Gap,-18536.76,0,,,
2014-2019,29020,"Kokomo, IN",Total,Change in Median Earnings Gap,-2620.7,0,,,
2018-2019,29020,"Kokomo, IN",Total,Change in Median Earnings Gap,-151.85001,0,,,
2009-2019,29100,"La Crosse-Onalaska, WI-MN",Total,Change in Median Earnings Gap,-4962.8701,0,,,
2014-2019,29100,"La Crosse-Onalaska, WI-MN",Total,Change in Median Earnings Gap,-161.52,0,,,
2018-2019,29100,"La Crosse-Onalaska, WI-MN",Total,Change in Median Earnings Gap,-1623.89,0,,,
2009-2019,29260,"La Grande, OR",Total,Change in Median Earnings Gap,-5536.9902,0,,,
2014-2019,29260,"La Grande, OR",Total,Change in Median Earnings Gap,-3472.97,0,,,
2018-2019,29260,"La Grande, OR",Total,Change in Median Earnings Gap,-9465.1602,0,,,
2009-2019,29300,"LaGrange, GA-AL",Total,Change in Median Earnings Gap,-856.59998,0,,,
2014-2019,29300,"LaGrange, GA-AL",Total,Change in Median Earnings Gap,608.56,0,,,
2018-2019,29300,"LaGrange, GA-AL",Total,Change in Median Earnings Gap,-3093.21,0,,,
2009-2019,29060,"Laconia, NH",Total,Change in Median Earnings Gap,2897.01,0,,,
2014-2019,29060,"Laconia, NH",Total,Change in Median Earnings Gap,-8884.8896,0,,,
2018-2019,29060,"Laconia, NH",Total,Change in Median Earnings Gap,1773.53,0,,,
2009-2019,29180,"Lafayette, LA",Total,Change in Median Earnings Gap,3694.5,1,Midsized,163,68
2014-2019,29180,"Lafayette, LA",Total,Change in Median Earnings Gap,-1059.35,1,Midsized,60,27
2018-2019,29180,"Lafayette, LA",Total,Change in Median Earnings Gap,926.21002,1,Midsized,124,48
2009-2019,29200,"Lafayette-West Lafayette, IN",Total,Change in Median Earnings Gap,4145.8701,0,,,
2014-2019,29200,"Lafayette-West Lafayette, IN",Total,Change in Median Earnings Gap,2411.8999,0,,,
2018-2019,29200,"Lafayette-West Lafayette, IN",Total,Change in Median Earnings Gap,-996.25,0,,,
2009-2019,29340,"Lake Charles, LA",Total,Change in Median Earnings Gap,1978.35,0,,,
2014-2019,29340,"Lake Charles, LA",Total,Change in Median Earnings Gap,11325.39,0,,,
2018-2019,29340,"Lake Charles, LA",Total,Change in Median Earnings Gap,171.71001,0,,,
2009-2019,29380,"Lake City, FL",Total,Change in Median Earnings Gap,2560.03,0,,,
2014-2019,29380,"Lake City, FL",Total,Change in Median Earnings Gap,7882.04,0,,,
2018-2019,29380,"Lake City, FL",Total,Change in Median Earnings Gap,5033.5498,0,,,
2009-2019,29420,"Lake Havasu City-Kingman, AZ",Total,Change in Median Earnings Gap,-3746.1001,0,,,
2014-2019,29420,"Lake Havasu City-Kingman, AZ",Total,Change in Median Earnings Gap,-4478.7798,0,,,
2018-2019,29420,"Lake Havasu City-Kingman, AZ",Total,Change in Median Earnings Gap,1055.64,0,,,
2009-2019,29460,"Lakeland-Winter Haven, FL",Total,Change in Median Earnings Gap,-3621.3501,1,Large,21,8
2014-2019,29460,"Lakeland-Winter Haven, FL",Total,Change in Median Earnings Gap,-5647.29,1,Large,7,3
2018-2019,29460,"Lakeland-Winter Haven, FL",Total,Change in Median Earnings Gap,-3519.1201,1,Large,24,10
2009-2019,29500,"Lamesa, TX",Total,Change in Median Earnings Gap,-5957.7998,0,,,
2014-2019,29500,"Lamesa, TX",Total,Change in Median Earnings Gap,-4613.9502,0,,,
2018-2019,29500,"Lamesa, TX",Total,Change in Median Earnings Gap,-3956.1299,0,,,
2009-2019,29540,"Lancaster, PA",Total,Change in Median Earnings Gap,-2656.71,1,Large,29,13
2014-2019,29540,"Lancaster, PA",Total,Change in Median Earnings Gap,-853.66998,1,Large,65,21
2018-2019,29540,"Lancaster, PA",Total,Change in Median Earnings Gap,-7538.8101,1,Large,4,1
2009-2019,29620,"Lansing-East Lansing, MI",Total,Change in Median Earnings Gap,5533.4502,1,Large,177,52
2014-2019,29620,"Lansing-East Lansing, MI",Total,Change in Median Earnings Gap,325.67999,1,Large,101,33
2018-2019,29620,"Lansing-East Lansing, MI",Total,Change in Median Earnings Gap,-835.40997,1,Large,78,26
2009-2019,29660,"Laramie, WY",Total,Change in Median Earnings Gap,1354.5699,0,,,
2014-2019,29660,"Laramie, WY",Total,Change in Median Earnings Gap,-1170.66,0,,,
2018-2019,29660,"Laramie, WY",Total,Change in Median Earnings Gap,3654.28,0,,,
2009-2019,29700,"Laredo, TX",Total,Change in Median Earnings Gap,-15915.16,1,Midsized,1,1
2014-2019,29700,"Laredo, TX",Total,Change in Median Earnings Gap,8430.1104,1,Midsized,190,80
2018-2019,29700,"Laredo, TX",Total,Change in Median Earnings Gap,3045.8899,1,Midsized,165,64
2009-2019,29740,"Las Cruces, NM",Total,Change in Median Earnings Gap,-2147.1699,0,,,
2014-2019,29740,"Las Cruces, NM",Total,Change in Median Earnings Gap,-7133.1201,0,,,
2018-2019,29740,"Las Cruces, NM",Total,Change in Median Earnings Gap,-8034.0298,0,,,
2009-2019,29780,"Las Vegas, NM",Total,Change in Median Earnings Gap,20215.391,0,,,
2014-2019,29780,"Las Vegas, NM",Total,Change in Median Earnings Gap,5907.0698,0,,,
2018-2019,29780,"Las Vegas, NM",Total,Change in Median Earnings Gap,-7991.8198,0,,,
2009-2019,29820,"Las Vegas-Henderson-Paradise, NV",Total,Change in Median Earnings Gap,412.85999,1,Very Large,100,21
2014-2019,29820,"Las Vegas-Henderson-Paradise, NV",Total,Change in Median Earnings Gap,1464.67,1,Very Large,132,38
2018-2019,29820,"Las Vegas-Henderson-Paradise, NV",Total,Change in Median Earnings Gap,1250.48,1,Very Large,133,42
2009-2019,29860,"Laurel, MS",Total,Change in Median Earnings Gap,7425.8999,0,,,
2014-2019,29860,"Laurel, MS",Total,Change in Median Earnings Gap,6155.1099,0,,,
2018-2019,29860,"Laurel, MS",Total,Change in Median Earnings Gap,2908.6599,0,,,
2009-2019,29900,"Laurinburg, NC",Total,Change in Median Earnings Gap,3789.1599,0,,,
2014-2019,29900,"Laurinburg, NC",Total,Change in Median Earnings Gap,2409.6399,0,,,
2018-2019,29900,"Laurinburg, NC",Total,Change in Median Earnings Gap,4331.1899,0,,,
2009-2019,29940,"Lawrence, KS",Total,Change in Median Earnings Gap,-9670.1396,0,,,
2014-2019,29940,"Lawrence, KS",Total,Change in Median Earnings Gap,-12410.77,0,,,
2018-2019,29940,"Lawrence, KS",Total,Change in Median Earnings Gap,-12093.69,0,,,
2009-2019,29980,"Lawrenceburg, TN",Total,Change in Median Earnings Gap,-805.94,0,,,
2014-2019,29980,"Lawrenceburg, TN",Total,Change in Median Earnings Gap,2043.8,0,,,
2018-2019,29980,"Lawrenceburg, TN",Total,Change in Median Earnings Gap,3204.1101,0,,,
2009-2019,30020,"Lawton, OK",Total,Change in Median Earnings Gap,1930.15,0,,,
2014-2019,30020,"Lawton, OK",Total,Change in Median Earnings Gap,3630.1101,0,,,
2018-2019,30020,"Lawton, OK",Total,Change in Median Earnings Gap,2341.4199,0,,,
2009-2019,30060,"Lebanon, MO",Total,Change in Median Earnings Gap,1562.52,0,,,
2014-2019,30060,"Lebanon, MO",Total,Change in Median Earnings Gap,-16958.32,0,,,
2018-2019,30060,"Lebanon, MO",Total,Change in Median Earnings Gap,-8082.0098,0,,,
2009-2019,30100,"Lebanon, NH-VT",Total,Change in Median Earnings Gap,-7084.7798,0,,,
2014-2019,30100,"Lebanon, NH-VT",Total,Change in Median Earnings Gap,-10223.22,0,,,
2018-2019,30100,"Lebanon, NH-VT",Total,Change in Median Earnings Gap,-7821.3701,0,,,
2009-2019,30140,"Lebanon, PA",Total,Change in Median Earnings Gap,3563.53,0,,,
2014-2019,30140,"Lebanon, PA",Total,Change in Median Earnings Gap,8642.8496,0,,,
2018-2019,30140,"Lebanon, PA",Total,Change in Median Earnings Gap,-3541.8401,0,,,
2009-2019,30220,"Levelland, TX",Total,Change in Median Earnings Gap,8488.4805,0,,,
2014-2019,30220,"Levelland, TX",Total,Change in Median Earnings Gap,4590.21,0,,,
2018-2019,30220,"Levelland, TX",Total,Change in Median Earnings Gap,3932.6699,0,,,
2009-2019,30260,"Lewisburg, PA",Total,Change in Median Earnings Gap,4057.8,0,,,
2014-2019,30260,"Lewisburg, PA",Total,Change in Median Earnings Gap,9341.5596,0,,,
2018-2019,30260,"Lewisburg, PA",Total,Change in Median Earnings Gap,4422.9199,0,,,
2009-2019,30280,"Lewisburg, TN",Total,Change in Median Earnings Gap,-2123.98,0,,,
2014-2019,30280,"Lewisburg, TN",Total,Change in Median Earnings Gap,-2169.22,0,,,
2018-2019,30280,"Lewisburg, TN",Total,Change in Median Earnings Gap,3253.8999,0,,,
2009-2019,30300,"Lewiston, ID-WA",Total,Change in Median Earnings Gap,937.28003,0,,,
2014-2019,30300,"Lewiston, ID-WA",Total,Change in Median Earnings Gap,4710,0,,,
2018-2019,30300,"Lewiston, ID-WA",Total,Change in Median Earnings Gap,-9245.5996,0,,,
2009-2019,30340,"Lewiston-Auburn, ME",Total,Change in Median Earnings Gap,4066.1599,0,,,
2014-2019,30340,"Lewiston-Auburn, ME",Total,Change in Median Earnings Gap,920.69,0,,,
2018-2019,30340,"Lewiston-Auburn, ME",Total,Change in Median Earnings Gap,3806.8899,0,,,
2009-2019,30380,"Lewistown, PA",Total,Change in Median Earnings Gap,4101.0498,0,,,
2014-2019,30380,"Lewistown, PA",Total,Change in Median Earnings Gap,9367.3799,0,,,
2018-2019,30380,"Lewistown, PA",Total,Change in Median Earnings Gap,4480.46,0,,,
2009-2019,30420,"Lexington, NE",Total,Change in Median Earnings Gap,-4336.29,0,,,
2014-2019,30420,"Lexington, NE",Total,Change in Median Earnings Gap,-2826.98,0,,,
2018-2019,30420,"Lexington, NE",Total,Change in Median Earnings Gap,1849.08,0,,,
2009-2019,30460,"Lexington-Fayette, KY",Total,Change in Median Earnings Gap,-1558.4301,1,Large,55,16
2014-2019,30460,"Lexington-Fayette, KY",Total,Change in Median Earnings Gap,-488.26001,1,Large,79,26
2018-2019,30460,"Lexington-Fayette, KY",Total,Change in Median Earnings Gap,210.99001,1,Large,104,34
2009-2019,30580,"Liberal, KS",Total,Change in Median Earnings Gap,610.91998,0,,,
2014-2019,30580,"Liberal, KS",Total,Change in Median Earnings Gap,-87.300003,0,,,
2018-2019,30580,"Liberal, KS",Total,Change in Median Earnings Gap,4543.4502,0,,,
2009-2019,30620,"Lima, OH",Total,Change in Median Earnings Gap,-967.62,0,,,
2014-2019,30620,"Lima, OH",Total,Change in Median Earnings Gap,942.25,0,,,
2018-2019,30620,"Lima, OH",Total,Change in Median Earnings Gap,-1791.55,0,,,
2009-2019,30660,"Lincoln, IL",Total,Change in Median Earnings Gap,6422.0801,0,,,
2014-2019,30660,"Lincoln, IL",Total,Change in Median Earnings Gap,11157.8,0,,,
2018-2019,30660,"Lincoln, IL",Total,Change in Median Earnings Gap,7188.3198,0,,,
2009-2019,30700,"Lincoln, NE",Total,Change in Median Earnings Gap,4876.1299,1,Midsized,173,73
2014-2019,30700,"Lincoln, NE",Total,Change in Median Earnings Gap,-3965.03,1,Midsized,22,11
2018-2019,30700,"Lincoln, NE",Total,Change in Median Earnings Gap,48.450001,1,Midsized,100,38
2009-2019,30780,"Little Rock-North Little Rock-Conway, AR",Total,Change in Median Earnings Gap,410.32999,1,Large,99,35
2014-2019,30780,"Little Rock-North Little Rock-Conway, AR",Total,Change in Median Earnings Gap,3531.77,1,Large,167,51
2018-2019,30780,"Little Rock-North Little Rock-Conway, AR",Total,Change in Median Earnings Gap,-1549.03,1,Large,64,22
2009-2019,30820,"Lock Haven, PA",Total,Change in Median Earnings Gap,-1852.67,0,,,
2014-2019,30820,"Lock Haven, PA",Total,Change in Median Earnings Gap,9452.8701,0,,,
2018-2019,30820,"Lock Haven, PA",Total,Change in Median Earnings Gap,11402.88,0,,,
2009-2019,30860,"Logan, UT-ID",Total,Change in Median Earnings Gap,-2427.54,0,,,
2014-2019,30860,"Logan, UT-ID",Total,Change in Median Earnings Gap,-3294.51,0,,,
2018-2019,30860,"Logan, UT-ID",Total,Change in Median Earnings Gap,-1915.28,0,,,
2009-2019,30900,"Logansport, IN",Total,Change in Median Earnings Gap,-8208.8896,0,,,
2014-2019,30900,"Logansport, IN",Total,Change in Median Earnings Gap,-2621.6499,0,,,
2018-2019,30900,"Logansport, IN",Total,Change in Median Earnings Gap,-135.98,0,,,
2009-2019,30940,"London, KY",Total,Change in Median Earnings Gap,678.77002,0,,,
2014-2019,30940,"London, KY",Total,Change in Median Earnings Gap,-4801.29,0,,,
2018-2019,30940,"London, KY",Total,Change in Median Earnings Gap,5748.9702,0,,,
2009-2019,30980,"Longview, TX",Total,Change in Median Earnings Gap,2637.3999,1,Midsized,150,62
2014-2019,30980,"Longview, TX",Total,Change in Median Earnings Gap,5250.3301,1,Midsized,181,74
2018-2019,30980,"Longview, TX",Total,Change in Median Earnings Gap,10090.58,1,Midsized,190,81
2009-2019,31020,"Longview, WA",Total,Change in Median Earnings Gap,-3971.4399,0,,,
2014-2019,31020,"Longview, WA",Total,Change in Median Earnings Gap,-4314.6602,0,,,
2018-2019,31020,"Longview, WA",Total,Change in Median Earnings Gap,-8638.1904,0,,,
2009-2019,31060,"Los Alamos, NM",Total,Change in Median Earnings Gap,2035.61,0,,,
2014-2019,31060,"Los Alamos, NM",Total,Change in Median Earnings Gap,5974.6899,0,,,
2018-2019,31060,"Los Alamos, NM",Total,Change in Median Earnings Gap,-7857.4399,0,,,
2009-2019,31080,"Los Angeles-Long Beach-Anaheim, CA",Total,Change in Median Earnings Gap,120.61,1,Very Large,92,19
2014-2019,31080,"Los Angeles-Long Beach-Anaheim, CA",Total,Change in Median Earnings Gap,-393.29999,1,Very Large,82,24
2018-2019,31080,"Los Angeles-Long Beach-Anaheim, CA",Total,Change in Median Earnings Gap,-288.57001,1,Very Large,90,26
2009-2019,31140,"Louisville/Jefferson County, KY-IN",Total,Change in Median Earnings Gap,1944.79,1,Very Large,129,35
2014-2019,31140,"Louisville/Jefferson County, KY-IN",Total,Change in Median Earnings Gap,2953.8799,1,Very Large,158,50
2018-2019,31140,"Louisville/Jefferson County, KY-IN",Total,Change in Median Earnings Gap,2225.72,1,Very Large,152,48
2009-2019,31180,"Lubbock, TX",Total,Change in Median Earnings Gap,3045.74,1,Midsized,154,64
2014-2019,31180,"Lubbock, TX",Total,Change in Median Earnings Gap,4105.7798,1,Midsized,172,69
2018-2019,31180,"Lubbock, TX",Total,Change in Median Earnings Gap,-26.950001,1,Midsized,98,37
2009-2019,31220,"Ludington, MI",Total,Change in Median Earnings Gap,-1944.77,0,,,
2014-2019,31220,"Ludington, MI",Total,Change in Median Earnings Gap,3563.6399,0,,,
2018-2019,31220,"Ludington, MI",Total,Change in Median Earnings Gap,-3927.74,0,,,
2009-2019,31260,"Lufkin, TX",Total,Change in Median Earnings Gap,167.83,0,,,
2014-2019,31260,"Lufkin, TX",Total,Change in Median Earnings Gap,-3517.21,0,,,
2018-2019,31260,"Lufkin, TX",Total,Change in Median Earnings Gap,-6227.7002,0,,,
2009-2019,31300,"Lumberton, NC",Total,Change in Median Earnings Gap,6502.1802,0,,,
2014-2019,31300,"Lumberton, NC",Total,Change in Median Earnings Gap,3572.5901,0,,,
2018-2019,31300,"Lumberton, NC",Total,Change in Median Earnings Gap,7626.7998,0,,,
2009-2019,31340,"Lynchburg, VA",Total,Change in Median Earnings Gap,815.27002,1,Midsized,110,47
2014-2019,31340,"Lynchburg, VA",Total,Change in Median Earnings Gap,-2681.8501,1,Midsized,33,16
2018-2019,31340,"Lynchburg, VA",Total,Change in Median Earnings Gap,5179.79,1,Midsized,180,75
2009-2019,31380,"Macomb, IL",Total,Change in Median Earnings Gap,6745.6499,0,,,
2014-2019,31380,"Macomb, IL",Total,Change in Median Earnings Gap,8793.8096,0,,,
2018-2019,31380,"Macomb, IL",Total,Change in Median Earnings Gap,-8272.8398,0,,,
2009-2019,31420,"Macon-Bibb County, GA",Total,Change in Median Earnings Gap,-1279.21,0,,,
2014-2019,31420,"Macon-Bibb County, GA",Total,Change in Median Earnings Gap,-2404.3101,0,,,
2018-2019,31420,"Macon-Bibb County, GA",Total,Change in Median Earnings Gap,4237.3501,0,,,
2009-2019,31460,"Madera, CA",Total,Change in Median Earnings Gap,-14708.63,0,,,
2014-2019,31460,"Madera, CA",Total,Change in Median Earnings Gap,-20408.971,0,,,
2018-2019,31460,"Madera, CA",Total,Change in Median Earnings Gap,-14093.73,0,,,
2009-2019,31500,"Madison, IN",Total,Change in Median Earnings Gap,-7626.77,0,,,
2014-2019,31500,"Madison, IN",Total,Change in Median Earnings Gap,-11451.43,0,,,
2018-2019,31500,"Madison, IN",Total,Change in Median Earnings Gap,-4995.29,0,,,
2009-2019,31540,"Madison, WI",Total,Change in Median Earnings Gap,5449.5601,1,Large,176,51
2014-2019,31540,"Madison, WI",Total,Change in Median Earnings Gap,-3325.75,1,Large,28,13
2018-2019,31540,"Madison, WI",Total,Change in Median Earnings Gap,1398.77,1,Large,136,41
2009-2019,31580,"Madisonville, KY",Total,Change in Median Earnings Gap,-7384.6699,0,,,
2014-2019,31580,"Madisonville, KY",Total,Change in Median Earnings Gap,571.53003,0,,,
2018-2019,31580,"Madisonville, KY",Total,Change in Median Earnings Gap,-194.74001,0,,,
2009-2019,31620,"Magnolia, AR",Total,Change in Median Earnings Gap,-6090.1602,0,,,
2014-2019,31620,"Magnolia, AR",Total,Change in Median Earnings Gap,-8684.1396,0,,,
2018-2019,31620,"Magnolia, AR",Total,Change in Median Earnings Gap,-14005.15,0,,,
2009-2019,31660,"Malone, NY",Total,Change in Median Earnings Gap,8542.5,0,,,
2014-2019,31660,"Malone, NY",Total,Change in Median Earnings Gap,4012.3601,0,,,
2018-2019,31660,"Malone, NY",Total,Change in Median Earnings Gap,12203.42,0,,,
