year,cbsa,cbsaname,race,education,indicator,value,topmetro,metrosize,overallrank,sizerank
2018-2019,17300,"Clarksville, TN-KY",Total,Total,Percent Change in Median Earnings,0.016226,1,Midsized,112,54
2009-2019,17340,"Clearlake, CA",Total,Total,Percent Change in Median Earnings,0.179029,0,,,
2014-2019,17340,"Clearlake, CA",Total,Total,Percent Change in Median Earnings,0.138066,0,,,
2018-2019,17340,"Clearlake, CA",Total,Total,Percent Change in Median Earnings,0.053167,0,,,
2009-2019,17380,"Cleveland, MS",Total,Total,Percent Change in Median Earnings,0.09279,0,,,
2014-2019,17380,"Cleveland, MS",Total,Total,Percent Change in Median Earnings,0.016317,0,,,
2018-2019,17380,"Cleveland, MS",Total,Total,Percent Change in Median Earnings,-0.02168,0,,,
2009-2019,17420,"Cleveland, TN",Total,Total,Percent Change in Median Earnings,0.045277,0,,,
2014-2019,17420,"Cleveland, TN",Total,Total,Percent Change in Median Earnings,0.157233,0,,,
2018-2019,17420,"Cleveland, TN",Total,Total,Percent Change in Median Earnings,0.017912,0,,,
2009-2019,17460,"Cleveland-Elyria, OH",Total,Total,Percent Change in Median Earnings,0.08829,1,Very Large,91,26
2014-2019,17460,"Cleveland-Elyria, OH",Total,Total,Percent Change in Median Earnings,0.117481,1,Very Large,87,32
2018-2019,17460,"Cleveland-Elyria, OH",Total,Total,Percent Change in Median Earnings,0.007515,1,Very Large,134,42
2009-2019,17500,"Clewiston, FL",Total,Total,Percent Change in Median Earnings,0.220502,0,,,
2014-2019,17500,"Clewiston, FL",Total,Total,Percent Change in Median Earnings,-0.009177,0,,,
2018-2019,17500,"Clewiston, FL",Total,Total,Percent Change in Median Earnings,-0.032571,0,,,
2009-2019,17540,"Clinton, IA",Total,Total,Percent Change in Median Earnings,0.080213,0,,,
2014-2019,17540,"Clinton, IA",Total,Total,Percent Change in Median Earnings,0.074297,0,,,
2018-2019,17540,"Clinton, IA",Total,Total,Percent Change in Median Earnings,-0.014658,0,,,
2009-2019,17580,"Clovis, NM",Total,Total,Percent Change in Median Earnings,0.003945,0,,,
2014-2019,17580,"Clovis, NM",Total,Total,Percent Change in Median Earnings,0.079875,0,,,
2018-2019,17580,"Clovis, NM",Total,Total,Percent Change in Median Earnings,0.11964,0,,,
2009-2019,17660,"Coeur d'Alene, ID",Total,Total,Percent Change in Median Earnings,0.245754,0,,,
2014-2019,17660,"Coeur d'Alene, ID",Total,Total,Percent Change in Median Earnings,0.236245,0,,,
2018-2019,17660,"Coeur d'Alene, ID",Total,Total,Percent Change in Median Earnings,0.087272,0,,,
2009-2019,17700,"Coffeyville, KS",Total,Total,Percent Change in Median Earnings,0.135472,0,,,
2014-2019,17700,"Coffeyville, KS",Total,Total,Percent Change in Median Earnings,0.09889,0,,,
2018-2019,17700,"Coffeyville, KS",Total,Total,Percent Change in Median Earnings,0.002648,0,,,
2009-2019,17740,"Coldwater, MI",Total,Total,Percent Change in Median Earnings,0.052183,0,,,
2014-2019,17740,"Coldwater, MI",Total,Total,Percent Change in Median Earnings,-0.011573,0,,,
2018-2019,17740,"Coldwater, MI",Total,Total,Percent Change in Median Earnings,0.044638,0,,,
2009-2019,17780,"College Station-Bryan, TX",Total,Total,Percent Change in Median Earnings,0.441191,1,Midsized,1,1
2014-2019,17780,"College Station-Bryan, TX",Total,Total,Percent Change in Median Earnings,0.224894,1,Midsized,12,8
2018-2019,17780,"College Station-Bryan, TX",Total,Total,Percent Change in Median Earnings,0.034312,1,Midsized,88,42
2009-2019,17820,"Colorado Springs, CO",Total,Total,Percent Change in Median Earnings,0.051363,1,Large,138,39
2014-2019,17820,"Colorado Springs, CO",Total,Total,Percent Change in Median Earnings,0.1234,1,Large,77,19
2018-2019,17820,"Colorado Springs, CO",Total,Total,Percent Change in Median Earnings,0.049276,1,Large,58,14
2009-2019,17860,"Columbia, MO",Total,Total,Percent Change in Median Earnings,0.043664,0,,,
2014-2019,17860,"Columbia, MO",Total,Total,Percent Change in Median Earnings,0.103792,0,,,
2018-2019,17860,"Columbia, MO",Total,Total,Percent Change in Median Earnings,0.072094,0,,,
2009-2019,17900,"Columbia, SC",Total,Total,Percent Change in Median Earnings,0.044999,1,Large,146,42
2014-2019,17900,"Columbia, SC",Total,Total,Percent Change in Median Earnings,0.173462,1,Large,35,6
2018-2019,17900,"Columbia, SC",Total,Total,Percent Change in Median Earnings,0.109143,1,Large,13,3
2009-2019,17980,"Columbus, GA-AL",Total,Total,Percent Change in Median Earnings,0.026904,1,Midsized,163,68
2014-2019,17980,"Columbus, GA-AL",Total,Total,Percent Change in Median Earnings,0.072742,1,Midsized,142,52
2018-2019,17980,"Columbus, GA-AL",Total,Total,Percent Change in Median Earnings,0.044856,1,Midsized,66,36
2009-2019,18020,"Columbus, IN",Total,Total,Percent Change in Median Earnings,0.228089,0,,,
2014-2019,18020,"Columbus, IN",Total,Total,Percent Change in Median Earnings,0.131563,0,,,
2018-2019,18020,"Columbus, IN",Total,Total,Percent Change in Median Earnings,0.064196,0,,,
2009-2019,18060,"Columbus, MS",Total,Total,Percent Change in Median Earnings,-0.037034,0,,,
2014-2019,18060,"Columbus, MS",Total,Total,Percent Change in Median Earnings,0.186272,0,,,
2018-2019,18060,"Columbus, MS",Total,Total,Percent Change in Median Earnings,-0.014804,0,,,
2009-2019,18100,"Columbus, NE",Total,Total,Percent Change in Median Earnings,0.195825,0,,,
2014-2019,18100,"Columbus, NE",Total,Total,Percent Change in Median Earnings,0.155833,0,,,
2018-2019,18100,"Columbus, NE",Total,Total,Percent Change in Median Earnings,0.139649,0,,,
2009-2019,18140,"Columbus, OH",Total,Total,Percent Change in Median Earnings,0.104069,1,Very Large,76,21
2014-2019,18140,"Columbus, OH",Total,Total,Percent Change in Median Earnings,0.121699,1,Very Large,80,30
2018-2019,18140,"Columbus, OH",Total,Total,Percent Change in Median Earnings,0.056358,1,Very Large,49,11
2009-2019,18180,"Concord, NH",Total,Total,Percent Change in Median Earnings,0.124165,0,,,
2014-2019,18180,"Concord, NH",Total,Total,Percent Change in Median Earnings,0.06789,0,,,
2018-2019,18180,"Concord, NH",Total,Total,Percent Change in Median Earnings,0.040938,0,,,
2009-2019,18220,"Connersville, IN",Total,Total,Percent Change in Median Earnings,-0.052275,0,,,
2014-2019,18220,"Connersville, IN",Total,Total,Percent Change in Median Earnings,-0.063027,0,,,
2018-2019,18220,"Connersville, IN",Total,Total,Percent Change in Median Earnings,-0.00085,0,,,
2009-2019,18260,"Cookeville, TN",Total,Total,Percent Change in Median Earnings,0.077686,0,,,
2014-2019,18260,"Cookeville, TN",Total,Total,Percent Change in Median Earnings,0.163473,0,,,
2018-2019,18260,"Cookeville, TN",Total,Total,Percent Change in Median Earnings,0.051387,0,,,
2009-2019,18300,"Coos Bay, OR",Total,Total,Percent Change in Median Earnings,0.164987,0,,,
2014-2019,18300,"Coos Bay, OR",Total,Total,Percent Change in Median Earnings,0.242009,0,,,
2018-2019,18300,"Coos Bay, OR",Total,Total,Percent Change in Median Earnings,-0.066072,0,,,
2009-2019,18380,"Cordele, GA",Total,Total,Percent Change in Median Earnings,-0.01228,0,,,
2014-2019,18380,"Cordele, GA",Total,Total,Percent Change in Median Earnings,0.08066,0,,,
2018-2019,18380,"Cordele, GA",Total,Total,Percent Change in Median Earnings,-0.064966,0,,,
2009-2019,18420,"Corinth, MS",Total,Total,Percent Change in Median Earnings,0.094429,0,,,
2014-2019,18420,"Corinth, MS",Total,Total,Percent Change in Median Earnings,0.159361,0,,,
2018-2019,18420,"Corinth, MS",Total,Total,Percent Change in Median Earnings,-0.033397,0,,,
2009-2019,18460,"Cornelia, GA",Total,Total,Percent Change in Median Earnings,0.229607,0,,,
2014-2019,18460,"Cornelia, GA",Total,Total,Percent Change in Median Earnings,0.245619,0,,,
2018-2019,18460,"Cornelia, GA",Total,Total,Percent Change in Median Earnings,0.045008,0,,,
2009-2019,18500,"Corning, NY",Total,Total,Percent Change in Median Earnings,-0.026321,0,,,
2014-2019,18500,"Corning, NY",Total,Total,Percent Change in Median Earnings,0.028492,0,,,
2018-2019,18500,"Corning, NY",Total,Total,Percent Change in Median Earnings,0.016566,0,,,
2009-2019,18580,"Corpus Christi, TX",Total,Total,Percent Change in Median Earnings,0.143966,1,Midsized,46,25
2014-2019,18580,"Corpus Christi, TX",Total,Total,Percent Change in Median Earnings,0.061372,1,Midsized,159,60
2018-2019,18580,"Corpus Christi, TX",Total,Total,Percent Change in Median Earnings,-0.047489,1,Midsized,185,77
2009-2019,18620,"Corsicana, TX",Total,Total,Percent Change in Median Earnings,0.320399,0,,,
2014-2019,18620,"Corsicana, TX",Total,Total,Percent Change in Median Earnings,0.196816,0,,,
2018-2019,18620,"Corsicana, TX",Total,Total,Percent Change in Median Earnings,0.057959,0,,,
2009-2019,18660,"Cortland, NY",Total,Total,Percent Change in Median Earnings,0.036263,0,,,
2014-2019,18660,"Cortland, NY",Total,Total,Percent Change in Median Earnings,0.006876,0,,,
2018-2019,18660,"Cortland, NY",Total,Total,Percent Change in Median Earnings,-0.016213,0,,,
2009-2019,18700,"Corvallis, OR",Total,Total,Percent Change in Median Earnings,0.305952,0,,,
2014-2019,18700,"Corvallis, OR",Total,Total,Percent Change in Median Earnings,0.237175,0,,,
2018-2019,18700,"Corvallis, OR",Total,Total,Percent Change in Median Earnings,0.043129,0,,,
2009-2019,18740,"Coshocton, OH",Total,Total,Percent Change in Median Earnings,0.04393,0,,,
2014-2019,18740,"Coshocton, OH",Total,Total,Percent Change in Median Earnings,0.089181,0,,,
2018-2019,18740,"Coshocton, OH",Total,Total,Percent Change in Median Earnings,-0.008187,0,,,
2009-2019,18780,"Craig, CO",Total,Total,Percent Change in Median Earnings,0.089196,0,,,
2014-2019,18780,"Craig, CO",Total,Total,Percent Change in Median Earnings,0.166438,0,,,
2018-2019,18780,"Craig, CO",Total,Total,Percent Change in Median Earnings,0.057233,0,,,
2009-2019,18820,"Crawfordsville, IN",Total,Total,Percent Change in Median Earnings,0.182895,0,,,
2014-2019,18820,"Crawfordsville, IN",Total,Total,Percent Change in Median Earnings,0.097293,0,,,
2018-2019,18820,"Crawfordsville, IN",Total,Total,Percent Change in Median Earnings,0.147687,0,,,
2009-2019,18860,"Crescent City, CA",Total,Total,Percent Change in Median Earnings,0.103822,0,,,
2014-2019,18860,"Crescent City, CA",Total,Total,Percent Change in Median Earnings,0.288592,0,,,
2018-2019,18860,"Crescent City, CA",Total,Total,Percent Change in Median Earnings,0.001773,0,,,
2009-2019,18880,"Crestview-Fort Walton Beach-Destin, FL",Total,Total,Percent Change in Median Earnings,-0.006263,1,Midsized,183,76
2014-2019,18880,"Crestview-Fort Walton Beach-Destin, FL",Total,Total,Percent Change in Median Earnings,0.018858,1,Midsized,178,72
2018-2019,18880,"Crestview-Fort Walton Beach-Destin, FL",Total,Total,Percent Change in Median Earnings,-0.019711,1,Midsized,167,69
2009-2019,18900,"Crossville, TN",Total,Total,Percent Change in Median Earnings,0.025487,0,,,
2014-2019,18900,"Crossville, TN",Total,Total,Percent Change in Median Earnings,0.098121,0,,,
2018-2019,18900,"Crossville, TN",Total,Total,Percent Change in Median Earnings,-0.117759,0,,,
2009-2019,18980,"Cullman, AL",Total,Total,Percent Change in Median Earnings,0.17936,0,,,
2014-2019,18980,"Cullman, AL",Total,Total,Percent Change in Median Earnings,0.173566,0,,,
2018-2019,18980,"Cullman, AL",Total,Total,Percent Change in Median Earnings,0.061612,0,,,
2009-2019,19000,"Cullowhee, NC",Total,Total,Percent Change in Median Earnings,0.06177,0,,,
2014-2019,19000,"Cullowhee, NC",Total,Total,Percent Change in Median Earnings,0.179269,0,,,
2018-2019,19000,"Cullowhee, NC",Total,Total,Percent Change in Median Earnings,0.150269,0,,,
2009-2019,19060,"Cumberland, MD-WV",Total,Total,Percent Change in Median Earnings,0.130636,0,,,
2014-2019,19060,"Cumberland, MD-WV",Total,Total,Percent Change in Median Earnings,0.196878,0,,,
2018-2019,19060,"Cumberland, MD-WV",Total,Total,Percent Change in Median Earnings,0.128582,0,,,
2009-2019,19100,"Dallas-Fort Worth-Arlington, TX",Total,Total,Percent Change in Median Earnings,0.136421,1,Very Large,52,14
2014-2019,19100,"Dallas-Fort Worth-Arlington, TX",Total,Total,Percent Change in Median Earnings,0.11776,1,Very Large,86,31
2018-2019,19100,"Dallas-Fort Worth-Arlington, TX",Total,Total,Percent Change in Median Earnings,0.01426,1,Very Large,115,31
2009-2019,19140,"Dalton, GA",Total,Total,Percent Change in Median Earnings,0.064691,0,,,
2014-2019,19140,"Dalton, GA",Total,Total,Percent Change in Median Earnings,0.039593,0,,,
2018-2019,19140,"Dalton, GA",Total,Total,Percent Change in Median Earnings,-0.024553,0,,,
2009-2019,19180,"Danville, IL",Total,Total,Percent Change in Median Earnings,0.101324,0,,,
2014-2019,19180,"Danville, IL",Total,Total,Percent Change in Median Earnings,-0.038994,0,,,
2018-2019,19180,"Danville, IL",Total,Total,Percent Change in Median Earnings,-0.0395,0,,,
2009-2019,19220,"Danville, KY",Total,Total,Percent Change in Median Earnings,0.037064,0,,,
2014-2019,19220,"Danville, KY",Total,Total,Percent Change in Median Earnings,0.006431,0,,,
2018-2019,19220,"Danville, KY",Total,Total,Percent Change in Median Earnings,-0.02099,0,,,
2009-2019,19260,"Danville, VA",Total,Total,Percent Change in Median Earnings,0.108464,0,,,
2014-2019,19260,"Danville, VA",Total,Total,Percent Change in Median Earnings,0.033836,0,,,
2018-2019,19260,"Danville, VA",Total,Total,Percent Change in Median Earnings,0.061843,0,,,
2009-2019,19300,"Daphne-Fairhope-Foley, AL",Total,Total,Percent Change in Median Earnings,-0.000108,0,,,
2014-2019,19300,"Daphne-Fairhope-Foley, AL",Total,Total,Percent Change in Median Earnings,0.236576,0,,,
2018-2019,19300,"Daphne-Fairhope-Foley, AL",Total,Total,Percent Change in Median Earnings,0.1191,0,,,
2009-2019,19340,"Davenport-Moline-Rock Island, IA-IL",Total,Total,Percent Change in Median Earnings,0.082323,1,Midsized,99,43
2014-2019,19340,"Davenport-Moline-Rock Island, IA-IL",Total,Total,Percent Change in Median Earnings,0.144763,1,Midsized,58,26
2018-2019,19340,"Davenport-Moline-Rock Island, IA-IL",Total,Total,Percent Change in Median Earnings,0.06512,1,Midsized,42,26
2009-2019,19420,"Dayton, TN",Total,Total,Percent Change in Median Earnings,0.106319,0,,,
2014-2019,19420,"Dayton, TN",Total,Total,Percent Change in Median Earnings,0.158392,0,,,
2018-2019,19420,"Dayton, TN",Total,Total,Percent Change in Median Earnings,-0.025749,0,,,
2009-2019,19430,"Dayton-Kettering, OH",Total,Total,Percent Change in Median Earnings,0.016774,1,Large,169,49
2014-2019,19430,"Dayton-Kettering, OH",Total,Total,Percent Change in Median Earnings,0.001065,1,Large,181,54
2018-2019,19430,"Dayton-Kettering, OH",Total,Total,Percent Change in Median Earnings,-0.016938,1,Large,160,49
2009-2019,19760,"DeRidder, LA",Total,Total,Percent Change in Median Earnings,0.126984,0,,,
2014-2019,19760,"DeRidder, LA",Total,Total,Percent Change in Median Earnings,0.142258,0,,,
2018-2019,19760,"DeRidder, LA",Total,Total,Percent Change in Median Earnings,-0.01488,0,,,
2009-2019,19460,"Decatur, AL",Total,Total,Percent Change in Median Earnings,0.231895,0,,,
2014-2019,19460,"Decatur, AL",Total,Total,Percent Change in Median Earnings,0.037312,0,,,
2018-2019,19460,"Decatur, AL",Total,Total,Percent Change in Median Earnings,-0.034483,0,,,
2009-2019,19500,"Decatur, IL",Total,Total,Percent Change in Median Earnings,0.063795,0,,,
2014-2019,19500,"Decatur, IL",Total,Total,Percent Change in Median Earnings,0.119381,0,,,
2018-2019,19500,"Decatur, IL",Total,Total,Percent Change in Median Earnings,0.174029,0,,,
2009-2019,19540,"Decatur, IN",Total,Total,Percent Change in Median Earnings,0.115459,0,,,
2014-2019,19540,"Decatur, IN",Total,Total,Percent Change in Median Earnings,0.047689,0,,,
2018-2019,19540,"Decatur, IN",Total,Total,Percent Change in Median Earnings,0.024682,0,,,
2009-2019,19580,"Defiance, OH",Total,Total,Percent Change in Median Earnings,0.31085,0,,,
2014-2019,19580,"Defiance, OH",Total,Total,Percent Change in Median Earnings,0.117866,0,,,
2018-2019,19580,"Defiance, OH",Total,Total,Percent Change in Median Earnings,0.00071,0,,,
2009-2019,19620,"Del Rio, TX",Total,Total,Percent Change in Median Earnings,0.24456,0,,,
2014-2019,19620,"Del Rio, TX",Total,Total,Percent Change in Median Earnings,0.051022,0,,,
2018-2019,19620,"Del Rio, TX",Total,Total,Percent Change in Median Earnings,0.014379,0,,,
2009-2019,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Total,Total,Percent Change in Median Earnings,0.036741,1,Large,154,45
2014-2019,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Total,Total,Percent Change in Median Earnings,0.113772,1,Large,93,24
2018-2019,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Total,Total,Percent Change in Median Earnings,-0.019389,1,Large,166,52
2009-2019,19700,"Deming, NM",Total,Total,Percent Change in Median Earnings,0.271019,0,,,
2014-2019,19700,"Deming, NM",Total,Total,Percent Change in Median Earnings,0.162775,0,,,
2018-2019,19700,"Deming, NM",Total,Total,Percent Change in Median Earnings,0.083807,0,,,
2009-2019,19740,"Denver-Aurora-Lakewood, CO",Total,Total,Percent Change in Median Earnings,0.218244,1,Very Large,14,3
2014-2019,19740,"Denver-Aurora-Lakewood, CO",Total,Total,Percent Change in Median Earnings,0.141063,1,Very Large,62,20
2018-2019,19740,"Denver-Aurora-Lakewood, CO",Total,Total,Percent Change in Median Earnings,0.097911,1,Very Large,14,2
2009-2019,19780,"Des Moines-West Des Moines, IA",Total,Total,Percent Change in Median Earnings,0.218934,1,Large,13,2
2014-2019,19780,"Des Moines-West Des Moines, IA",Total,Total,Percent Change in Median Earnings,0.127088,1,Large,71,17
2018-2019,19780,"Des Moines-West Des Moines, IA",Total,Total,Percent Change in Median Earnings,0.031491,1,Large,92,24
2009-2019,19820,"Detroit-Warren-Dearborn, MI",Total,Total,Percent Change in Median Earnings,0.075189,1,Very Large,113,37
2014-2019,19820,"Detroit-Warren-Dearborn, MI",Total,Total,Percent Change in Median Earnings,0.090445,1,Very Large,120,40
2018-2019,19820,"Detroit-Warren-Dearborn, MI",Total,Total,Percent Change in Median Earnings,0.040342,1,Very Large,79,21
2009-2019,19860,"Dickinson, ND",Total,Total,Percent Change in Median Earnings,0.143828,0,,,
2014-2019,19860,"Dickinson, ND",Total,Total,Percent Change in Median Earnings,0.184566,0,,,
2018-2019,19860,"Dickinson, ND",Total,Total,Percent Change in Median Earnings,-0.031807,0,,,
2009-2019,19940,"Dixon, IL",Total,Total,Percent Change in Median Earnings,0.306408,0,,,
2014-2019,19940,"Dixon, IL",Total,Total,Percent Change in Median Earnings,-0.00466,0,,,
2018-2019,19940,"Dixon, IL",Total,Total,Percent Change in Median Earnings,-0.114969,0,,,
2009-2019,19980,"Dodge City, KS",Total,Total,Percent Change in Median Earnings,0.155036,0,,,
2014-2019,19980,"Dodge City, KS",Total,Total,Percent Change in Median Earnings,0.098789,0,,,
2018-2019,19980,"Dodge City, KS",Total,Total,Percent Change in Median Earnings,0.099724,0,,,
2009-2019,20020,"Dothan, AL",Total,Total,Percent Change in Median Earnings,0.042137,0,,,
2014-2019,20020,"Dothan, AL",Total,Total,Percent Change in Median Earnings,0.118109,0,,,
2018-2019,20020,"Dothan, AL",Total,Total,Percent Change in Median Earnings,-0.005456,0,,,
2009-2019,20060,"Douglas, GA",Total,Total,Percent Change in Median Earnings,-0.006195,0,,,
2014-2019,20060,"Douglas, GA",Total,Total,Percent Change in Median Earnings,-0.020762,0,,,
2018-2019,20060,"Douglas, GA",Total,Total,Percent Change in Median Earnings,-0.053382,0,,,
2009-2019,20100,"Dover, DE",Total,Total,Percent Change in Median Earnings,0.005786,0,,,
2014-2019,20100,"Dover, DE",Total,Total,Percent Change in Median Earnings,0.015535,0,,,
2018-2019,20100,"Dover, DE",Total,Total,Percent Change in Median Earnings,-0.053236,0,,,
2009-2019,20180,"DuBois, PA",Total,Total,Percent Change in Median Earnings,0.197432,0,,,
2014-2019,20180,"DuBois, PA",Total,Total,Percent Change in Median Earnings,0.103067,0,,,
2018-2019,20180,"DuBois, PA",Total,Total,Percent Change in Median Earnings,0.02284,0,,,
2009-2019,20140,"Dublin, GA",Total,Total,Percent Change in Median Earnings,-0.092445,0,,,
2014-2019,20140,"Dublin, GA",Total,Total,Percent Change in Median Earnings,0.000855,0,,,
2018-2019,20140,"Dublin, GA",Total,Total,Percent Change in Median Earnings,-0.118592,0,,,
2009-2019,20220,"Dubuque, IA",Total,Total,Percent Change in Median Earnings,0.078452,0,,,
2014-2019,20220,"Dubuque, IA",Total,Total,Percent Change in Median Earnings,0.142191,0,,,
2018-2019,20220,"Dubuque, IA",Total,Total,Percent Change in Median Earnings,0.069868,0,,,
2009-2019,20260,"Duluth, MN-WI",Total,Total,Percent Change in Median Earnings,0.188387,1,Midsized,23,16
2014-2019,20260,"Duluth, MN-WI",Total,Total,Percent Change in Median Earnings,0.231656,1,Midsized,10,6
2018-2019,20260,"Duluth, MN-WI",Total,Total,Percent Change in Median Earnings,0.094173,1,Midsized,20,13
2009-2019,20300,"Dumas, TX",Total,Total,Percent Change in Median Earnings,0.094602,0,,,
2014-2019,20300,"Dumas, TX",Total,Total,Percent Change in Median Earnings,0.016812,0,,,
2018-2019,20300,"Dumas, TX",Total,Total,Percent Change in Median Earnings,-0.002527,0,,,
2009-2019,20340,"Duncan, OK",Total,Total,Percent Change in Median Earnings,0.074635,0,,,
2014-2019,20340,"Duncan, OK",Total,Total,Percent Change in Median Earnings,0.127737,0,,,
2018-2019,20340,"Duncan, OK",Total,Total,Percent Change in Median Earnings,0.146151,0,,,
2009-2019,20420,"Durango, CO",Total,Total,Percent Change in Median Earnings,0.079722,0,,,
2014-2019,20420,"Durango, CO",Total,Total,Percent Change in Median Earnings,-0.065001,0,,,
2018-2019,20420,"Durango, CO",Total,Total,Percent Change in Median Earnings,-0.023095,0,,,
2009-2019,20460,"Durant, OK",Total,Total,Percent Change in Median Earnings,0.20097,0,,,
2014-2019,20460,"Durant, OK",Total,Total,Percent Change in Median Earnings,0.06851,0,,,
2018-2019,20460,"Durant, OK",Total,Total,Percent Change in Median Earnings,0.201956,0,,,
2009-2019,20500,"Durham-Chapel Hill, NC",Total,Total,Percent Change in Median Earnings,0.11588,1,Large,61,15
2014-2019,20500,"Durham-Chapel Hill, NC",Total,Total,Percent Change in Median Earnings,0.033994,1,Large,175,52
2018-2019,20500,"Durham-Chapel Hill, NC",Total,Total,Percent Change in Median Earnings,0.047623,1,Large,60,15
2009-2019,20540,"Dyersburg, TN",Total,Total,Percent Change in Median Earnings,0.114307,0,,,
2014-2019,20540,"Dyersburg, TN",Total,Total,Percent Change in Median Earnings,0.113569,0,,,
2018-2019,20540,"Dyersburg, TN",Total,Total,Percent Change in Median Earnings,-0.016277,0,,,
2009-2019,20580,"Eagle Pass, TX",Total,Total,Percent Change in Median Earnings,0.246556,0,,,
2014-2019,20580,"Eagle Pass, TX",Total,Total,Percent Change in Median Earnings,0.052904,0,,,
2018-2019,20580,"Eagle Pass, TX",Total,Total,Percent Change in Median Earnings,0.016164,0,,,
2009-2019,20700,"East Stroudsburg, PA",Total,Total,Percent Change in Median Earnings,0.042504,0,,,
2014-2019,20700,"East Stroudsburg, PA",Total,Total,Percent Change in Median Earnings,0.111397,0,,,
2018-2019,20700,"East Stroudsburg, PA",Total,Total,Percent Change in Median Earnings,0.167471,0,,,
2009-2019,20660,"Easton, MD",Total,Total,Percent Change in Median Earnings,0.164614,0,,,
2014-2019,20660,"Easton, MD",Total,Total,Percent Change in Median Earnings,0.179164,0,,,
2018-2019,20660,"Easton, MD",Total,Total,Percent Change in Median Earnings,0.11692,0,,,
2009-2019,20740,"Eau Claire, WI",Total,Total,Percent Change in Median Earnings,0.122456,0,,,
2014-2019,20740,"Eau Claire, WI",Total,Total,Percent Change in Median Earnings,0.246062,0,,,
2018-2019,20740,"Eau Claire, WI",Total,Total,Percent Change in Median Earnings,0.028032,0,,,
2009-2019,20780,"Edwards, CO",Total,Total,Percent Change in Median Earnings,0.224644,0,,,
2014-2019,20780,"Edwards, CO",Total,Total,Percent Change in Median Earnings,0.35236,0,,,
2018-2019,20780,"Edwards, CO",Total,Total,Percent Change in Median Earnings,0.040224,0,,,
2009-2019,20820,"Effingham, IL",Total,Total,Percent Change in Median Earnings,0.200314,0,,,
2014-2019,20820,"Effingham, IL",Total,Total,Percent Change in Median Earnings,0.184513,0,,,
2018-2019,20820,"Effingham, IL",Total,Total,Percent Change in Median Earnings,0.062922,0,,,
2009-2019,20900,"El Campo, TX",Total,Total,Percent Change in Median Earnings,0.298044,0,,,
2014-2019,20900,"El Campo, TX",Total,Total,Percent Change in Median Earnings,0.186383,0,,,
2018-2019,20900,"El Campo, TX",Total,Total,Percent Change in Median Earnings,0.042163,0,,,
2009-2019,20940,"El Centro, CA",Total,Total,Percent Change in Median Earnings,0.100096,0,,,
2014-2019,20940,"El Centro, CA",Total,Total,Percent Change in Median Earnings,0.131381,0,,,
2018-2019,20940,"El Centro, CA",Total,Total,Percent Change in Median Earnings,0.234299,0,,,
2009-2019,20980,"El Dorado, AR",Total,Total,Percent Change in Median Earnings,0.356694,0,,,
2014-2019,20980,"El Dorado, AR",Total,Total,Percent Change in Median Earnings,0.196274,0,,,
2018-2019,20980,"El Dorado, AR",Total,Total,Percent Change in Median Earnings,0.122863,0,,,
2009-2019,21340,"El Paso, TX",Total,Total,Percent Change in Median Earnings,0.173115,1,Large,29,7
2014-2019,21340,"El Paso, TX",Total,Total,Percent Change in Median Earnings,0.09818,1,Large,105,32
2018-2019,21340,"El Paso, TX",Total,Total,Percent Change in Median Earnings,0.05797,1,Large,46,9
2009-2019,21020,"Elizabeth City, NC",Total,Total,Percent Change in Median Earnings,0.363071,0,,,
2014-2019,21020,"Elizabeth City, NC",Total,Total,Percent Change in Median Earnings,0.287634,0,,,
2018-2019,21020,"Elizabeth City, NC",Total,Total,Percent Change in Median Earnings,0.160068,0,,,
2009-2019,21060,"Elizabethtown-Fort Knox, KY",Total,Total,Percent Change in Median Earnings,0.1784,0,,,
2014-2019,21060,"Elizabethtown-Fort Knox, KY",Total,Total,Percent Change in Median Earnings,0.316462,0,,,
2018-2019,21060,"Elizabethtown-Fort Knox, KY",Total,Total,Percent Change in Median Earnings,0.091172,0,,,
2009-2019,21120,"Elk City, OK",Total,Total,Percent Change in Median Earnings,0.16269,0,,,
2014-2019,21120,"Elk City, OK",Total,Total,Percent Change in Median Earnings,0.16278,0,,,
2018-2019,21120,"Elk City, OK",Total,Total,Percent Change in Median Earnings,0.256808,0,,,
2009-2019,21140,"Elkhart-Goshen, IN",Total,Total,Percent Change in Median Earnings,0.062484,0,,,
2014-2019,21140,"Elkhart-Goshen, IN",Total,Total,Percent Change in Median Earnings,0.064357,0,,,
2018-2019,21140,"Elkhart-Goshen, IN",Total,Total,Percent Change in Median Earnings,-0.104861,0,,,
2009-2019,21180,"Elkins, WV",Total,Total,Percent Change in Median Earnings,0.132621,0,,,
2014-2019,21180,"Elkins, WV",Total,Total,Percent Change in Median Earnings,0.169319,0,,,
2018-2019,21180,"Elkins, WV",Total,Total,Percent Change in Median Earnings,0.059113,0,,,
2009-2019,21220,"Elko, NV",Total,Total,Percent Change in Median Earnings,0.16377,0,,,
2014-2019,21220,"Elko, NV",Total,Total,Percent Change in Median Earnings,0.155445,0,,,
2018-2019,21220,"Elko, NV",Total,Total,Percent Change in Median Earnings,-0.062889,0,,,
2009-2019,21260,"Ellensburg, WA",Total,Total,Percent Change in Median Earnings,0.229531,0,,,
