year,cbsa,cbsaname,race,education,indicator,value,topmetro,metrosize
2014,31580,"Madisonville, KY",Total,Total,Employment-to-Population Ratio,0.603530884,0,
2015,31580,"Madisonville, KY",Total,Total,Employment-to-Population Ratio,0.633003414,0,
2016,31580,"Madisonville, KY",Total,Total,Employment-to-Population Ratio,0.6280303,0,
2017,31580,"Madisonville, KY",Total,Total,Employment-to-Population Ratio,0.579858243,0,
2018,31580,"Madisonville, KY",Total,Total,Employment-to-Population Ratio,0.663053453,0,
2019,31580,"Madisonville, KY",Total,Total,Employment-to-Population Ratio,0.653647959,0,
2009,31620,"Magnolia, AR",Total,Total,Employment-to-Population Ratio,0.626146019,0,
2010,31620,"Magnolia, AR",Total,Total,Employment-to-Population Ratio,0.617113829,0,
2011,31620,"Magnolia, AR",Total,Total,Employment-to-Population Ratio,0.65664804,0,
2012,31620,"Magnolia, AR",Total,Total,Employment-to-Population Ratio,0.633484781,0,
2013,31620,"Magnolia, AR",Total,Total,Employment-to-Population Ratio,0.567178547,0,
2014,31620,"Magnolia, AR",Total,Total,Employment-to-Population Ratio,0.658887029,0,
2015,31620,"Magnolia, AR",Total,Total,Employment-to-Population Ratio,0.652424693,0,
2016,31620,"Magnolia, AR",Total,Total,Employment-to-Population Ratio,0.595769346,0,
2017,31620,"Magnolia, AR",Total,Total,Employment-to-Population Ratio,0.569674492,0,
2018,31620,"Magnolia, AR",Total,Total,Employment-to-Population Ratio,0.625210941,0,
2019,31620,"Magnolia, AR",Total,Total,Employment-to-Population Ratio,0.664150953,0,
2009,31660,"Malone, NY",Total,Total,Employment-to-Population Ratio,0.625907719,0,
2010,31660,"Malone, NY",Total,Total,Employment-to-Population Ratio,0.588803649,0,
2011,31660,"Malone, NY",Total,Total,Employment-to-Population Ratio,0.63296181,0,
2012,31660,"Malone, NY",Total,Total,Employment-to-Population Ratio,0.622604251,0,
2013,31660,"Malone, NY",Total,Total,Employment-to-Population Ratio,0.579141259,0,
2014,31660,"Malone, NY",Total,Total,Employment-to-Population Ratio,0.638307631,0,
2015,31660,"Malone, NY",Total,Total,Employment-to-Population Ratio,0.616889656,0,
2016,31660,"Malone, NY",Total,Total,Employment-to-Population Ratio,0.631359875,0,
2017,31660,"Malone, NY",Total,Total,Employment-to-Population Ratio,0.63825649,0,
2018,31660,"Malone, NY",Total,Total,Employment-to-Population Ratio,0.633729517,0,
2019,31660,"Malone, NY",Total,Total,Employment-to-Population Ratio,0.609526575,0,
2009,31680,"Malvern, AR",Total,Total,Employment-to-Population Ratio,0.626197278,0,
2010,31680,"Malvern, AR",Total,Total,Employment-to-Population Ratio,0.596141934,0,
2011,31680,"Malvern, AR",Total,Total,Employment-to-Population Ratio,0.670034528,0,
2012,31680,"Malvern, AR",Total,Total,Employment-to-Population Ratio,0.621347666,0,
2013,31680,"Malvern, AR",Total,Total,Employment-to-Population Ratio,0.626975358,0,
2014,31680,"Malvern, AR",Total,Total,Employment-to-Population Ratio,0.62491715,0,
2015,31680,"Malvern, AR",Total,Total,Employment-to-Population Ratio,0.61370641,0,
2016,31680,"Malvern, AR",Total,Total,Employment-to-Population Ratio,0.679555774,0,
2017,31680,"Malvern, AR",Total,Total,Employment-to-Population Ratio,0.626928985,0,
2018,31680,"Malvern, AR",Total,Total,Employment-to-Population Ratio,0.632750869,0,
2019,31680,"Malvern, AR",Total,Total,Employment-to-Population Ratio,0.6603688,0,
2009,31700,"Manchester-Nashua, NH",Total,Total,Employment-to-Population Ratio,0.75807327,1,Midsized
2010,31700,"Manchester-Nashua, NH",Total,Total,Employment-to-Population Ratio,0.771718085,1,Midsized
2011,31700,"Manchester-Nashua, NH",Total,Total,Employment-to-Population Ratio,0.769510031,1,Midsized
2012,31700,"Manchester-Nashua, NH",Total,Total,Employment-to-Population Ratio,0.784018099,1,Midsized
2013,31700,"Manchester-Nashua, NH",Total,Total,Employment-to-Population Ratio,0.764270306,1,Midsized
2014,31700,"Manchester-Nashua, NH",Total,Total,Employment-to-Population Ratio,0.791053236,1,Midsized
2015,31700,"Manchester-Nashua, NH",Total,Total,Employment-to-Population Ratio,0.789339185,1,Midsized
2016,31700,"Manchester-Nashua, NH",Total,Total,Employment-to-Population Ratio,0.802174807,1,Midsized
2017,31700,"Manchester-Nashua, NH",Total,Total,Employment-to-Population Ratio,0.812906206,1,Midsized
2018,31700,"Manchester-Nashua, NH",Total,Total,Employment-to-Population Ratio,0.80252248,1,Midsized
2019,31700,"Manchester-Nashua, NH",Total,Total,Employment-to-Population Ratio,0.811061859,1,Midsized
2009,31740,"Manhattan, KS",Total,Total,Employment-to-Population Ratio,0.729832709,0,
2010,31740,"Manhattan, KS",Total,Total,Employment-to-Population Ratio,0.71793443,0,
2011,31740,"Manhattan, KS",Total,Total,Employment-to-Population Ratio,0.726297796,0,
2012,31740,"Manhattan, KS",Total,Total,Employment-to-Population Ratio,0.744067669,0,
2013,31740,"Manhattan, KS",Total,Total,Employment-to-Population Ratio,0.694108486,0,
2014,31740,"Manhattan, KS",Total,Total,Employment-to-Population Ratio,0.70894289,0,
2015,31740,"Manhattan, KS",Total,Total,Employment-to-Population Ratio,0.732154429,0,
2016,31740,"Manhattan, KS",Total,Total,Employment-to-Population Ratio,0.735298991,0,
2017,31740,"Manhattan, KS",Total,Total,Employment-to-Population Ratio,0.743569016,0,
2018,31740,"Manhattan, KS",Total,Total,Employment-to-Population Ratio,0.784475207,0,
2019,31740,"Manhattan, KS",Total,Total,Employment-to-Population Ratio,0.748845696,0,
2009,31820,"Manitowoc, WI",Total,Total,Employment-to-Population Ratio,0.769276857,0,
2010,31820,"Manitowoc, WI",Total,Total,Employment-to-Population Ratio,0.741912425,0,
2011,31820,"Manitowoc, WI",Total,Total,Employment-to-Population Ratio,0.767090142,0,
2012,31820,"Manitowoc, WI",Total,Total,Employment-to-Population Ratio,0.781137109,0,
2013,31820,"Manitowoc, WI",Total,Total,Employment-to-Population Ratio,0.77538085,0,
2014,31820,"Manitowoc, WI",Total,Total,Employment-to-Population Ratio,0.74441129,0,
2015,31820,"Manitowoc, WI",Total,Total,Employment-to-Population Ratio,0.798989296,0,
2016,31820,"Manitowoc, WI",Total,Total,Employment-to-Population Ratio,0.791248858,0,
2017,31820,"Manitowoc, WI",Total,Total,Employment-to-Population Ratio,0.841559291,0,
2018,31820,"Manitowoc, WI",Total,Total,Employment-to-Population Ratio,0.803949714,0,
2019,31820,"Manitowoc, WI",Total,Total,Employment-to-Population Ratio,0.825842679,0,
2009,31860,"Mankato, MN",Total,Total,Employment-to-Population Ratio,0.786795914,0,
2010,31860,"Mankato, MN",Total,Total,Employment-to-Population Ratio,0.791607141,0,
2011,31860,"Mankato, MN",Total,Total,Employment-to-Population Ratio,0.816812754,0,
2012,31860,"Mankato, MN",Total,Total,Employment-to-Population Ratio,0.769768536,0,
2013,31860,"Mankato, MN",Total,Total,Employment-to-Population Ratio,0.784022808,0,
2014,31860,"Mankato, MN",Total,Total,Employment-to-Population Ratio,0.785947144,0,
2015,31860,"Mankato, MN",Total,Total,Employment-to-Population Ratio,0.798028708,0,
2016,31860,"Mankato, MN",Total,Total,Employment-to-Population Ratio,0.770233214,0,
2017,31860,"Mankato, MN",Total,Total,Employment-to-Population Ratio,0.771250904,0,
2018,31860,"Mankato, MN",Total,Total,Employment-to-Population Ratio,0.834341109,0,
2019,31860,"Mankato, MN",Total,Total,Employment-to-Population Ratio,0.823468447,0,
2009,31900,"Mansfield, OH",Total,Total,Employment-to-Population Ratio,0.697787225,0,
2010,31900,"Mansfield, OH",Total,Total,Employment-to-Population Ratio,0.624823809,0,
2011,31900,"Mansfield, OH",Total,Total,Employment-to-Population Ratio,0.671797097,0,
2012,31900,"Mansfield, OH",Total,Total,Employment-to-Population Ratio,0.662804186,0,
2013,31900,"Mansfield, OH",Total,Total,Employment-to-Population Ratio,0.649196327,0,
2014,31900,"Mansfield, OH",Total,Total,Employment-to-Population Ratio,0.647539198,0,
2015,31900,"Mansfield, OH",Total,Total,Employment-to-Population Ratio,0.603112161,0,
2016,31900,"Mansfield, OH",Total,Total,Employment-to-Population Ratio,0.67516607,0,
2017,31900,"Mansfield, OH",Total,Total,Employment-to-Population Ratio,0.664091766,0,
2018,31900,"Mansfield, OH",Total,Total,Employment-to-Population Ratio,0.650671899,0,
2019,31900,"Mansfield, OH",Total,Total,Employment-to-Population Ratio,0.716958463,0,
2009,31930,"Marietta, OH",Total,Total,Employment-to-Population Ratio,0.618187129,0,
2010,31930,"Marietta, OH",Total,Total,Employment-to-Population Ratio,0.614477873,0,
2011,31930,"Marietta, OH",Total,Total,Employment-to-Population Ratio,0.630115569,0,
2012,31930,"Marietta, OH",Total,Total,Employment-to-Population Ratio,0.605614781,0,
2013,31930,"Marietta, OH",Total,Total,Employment-to-Population Ratio,0.640039325,0,
2014,31930,"Marietta, OH",Total,Total,Employment-to-Population Ratio,0.629620552,0,
2015,31930,"Marietta, OH",Total,Total,Employment-to-Population Ratio,0.641334772,0,
2016,31930,"Marietta, OH",Total,Total,Employment-to-Population Ratio,0.635555327,0,
2017,31930,"Marietta, OH",Total,Total,Employment-to-Population Ratio,0.638616145,0,
2018,31930,"Marietta, OH",Total,Total,Employment-to-Population Ratio,0.633320034,0,
2019,31930,"Marietta, OH",Total,Total,Employment-to-Population Ratio,0.667160153,0,
2009,31940,"Marinette, WI-MI",Total,Total,Employment-to-Population Ratio,0.741997182,0,
2010,31940,"Marinette, WI-MI",Total,Total,Employment-to-Population Ratio,0.703474343,0,
2011,31940,"Marinette, WI-MI",Total,Total,Employment-to-Population Ratio,0.699328303,0,
2012,31940,"Marinette, WI-MI",Total,Total,Employment-to-Population Ratio,0.676067173,0,
2013,31940,"Marinette, WI-MI",Total,Total,Employment-to-Population Ratio,0.675886691,0,
2014,31940,"Marinette, WI-MI",Total,Total,Employment-to-Population Ratio,0.672631562,0,
2015,31940,"Marinette, WI-MI",Total,Total,Employment-to-Population Ratio,0.705323339,0,
2016,31940,"Marinette, WI-MI",Total,Total,Employment-to-Population Ratio,0.722619116,0,
2017,31940,"Marinette, WI-MI",Total,Total,Employment-to-Population Ratio,0.716078639,0,
2018,31940,"Marinette, WI-MI",Total,Total,Employment-to-Population Ratio,0.71372962,0,
2019,31940,"Marinette, WI-MI",Total,Total,Employment-to-Population Ratio,0.725707114,0,
2009,31980,"Marion, IN",Total,Total,Employment-to-Population Ratio,0.636577547,0,
2010,31980,"Marion, IN",Total,Total,Employment-to-Population Ratio,0.637303293,0,
2011,31980,"Marion, IN",Total,Total,Employment-to-Population Ratio,0.616641581,0,
2012,31980,"Marion, IN",Total,Total,Employment-to-Population Ratio,0.646231294,0,
2013,31980,"Marion, IN",Total,Total,Employment-to-Population Ratio,0.6615538,0,
2014,31980,"Marion, IN",Total,Total,Employment-to-Population Ratio,0.682048082,0,
2015,31980,"Marion, IN",Total,Total,Employment-to-Population Ratio,0.655716658,0,
2016,31980,"Marion, IN",Total,Total,Employment-to-Population Ratio,0.676794827,0,
2017,31980,"Marion, IN",Total,Total,Employment-to-Population Ratio,0.662973344,0,
2018,31980,"Marion, IN",Total,Total,Employment-to-Population Ratio,0.664520502,0,
2019,31980,"Marion, IN",Total,Total,Employment-to-Population Ratio,0.713959217,0,
2009,32000,"Marion, NC",Total,Total,Employment-to-Population Ratio,0.612964571,0,
2010,32000,"Marion, NC",Total,Total,Employment-to-Population Ratio,0.606691301,0,
2011,32000,"Marion, NC",Total,Total,Employment-to-Population Ratio,0.618727624,0,
2012,32000,"Marion, NC",Total,Total,Employment-to-Population Ratio,0.583166957,0,
2013,32000,"Marion, NC",Total,Total,Employment-to-Population Ratio,0.598407269,0,
2014,32000,"Marion, NC",Total,Total,Employment-to-Population Ratio,0.624085486,0,
2015,32000,"Marion, NC",Total,Total,Employment-to-Population Ratio,0.628420413,0,
2016,32000,"Marion, NC",Total,Total,Employment-to-Population Ratio,0.634638429,0,
2017,32000,"Marion, NC",Total,Total,Employment-to-Population Ratio,0.635280252,0,
2018,32000,"Marion, NC",Total,Total,Employment-to-Population Ratio,0.681991756,0,
2019,32000,"Marion, NC",Total,Total,Employment-to-Population Ratio,0.660251796,0,
2009,32020,"Marion, OH",Total,Total,Employment-to-Population Ratio,0.64282763,0,
2010,32020,"Marion, OH",Total,Total,Employment-to-Population Ratio,0.649114251,0,
2011,32020,"Marion, OH",Total,Total,Employment-to-Population Ratio,0.608392298,0,
2012,32020,"Marion, OH",Total,Total,Employment-to-Population Ratio,0.655986071,0,
2013,32020,"Marion, OH",Total,Total,Employment-to-Population Ratio,0.667770088,0,
2014,32020,"Marion, OH",Total,Total,Employment-to-Population Ratio,0.642548561,0,
2015,32020,"Marion, OH",Total,Total,Employment-to-Population Ratio,0.647387087,0,
2016,32020,"Marion, OH",Total,Total,Employment-to-Population Ratio,0.705819488,0,
2017,32020,"Marion, OH",Total,Total,Employment-to-Population Ratio,0.696384788,0,
2018,32020,"Marion, OH",Total,Total,Employment-to-Population Ratio,0.713306844,0,
2019,32020,"Marion, OH",Total,Total,Employment-to-Population Ratio,0.698341191,0,
2009,32100,"Marquette, MI",Total,Total,Employment-to-Population Ratio,0.69576633,0,
2010,32100,"Marquette, MI",Total,Total,Employment-to-Population Ratio,0.641104996,0,
2011,32100,"Marquette, MI",Total,Total,Employment-to-Population Ratio,0.587868094,0,
2012,32100,"Marquette, MI",Total,Total,Employment-to-Population Ratio,0.600408494,0,
2013,32100,"Marquette, MI",Total,Total,Employment-to-Population Ratio,0.597020924,0,
2014,32100,"Marquette, MI",Total,Total,Employment-to-Population Ratio,0.630506635,0,
2015,32100,"Marquette, MI",Total,Total,Employment-to-Population Ratio,0.638687372,0,
2016,32100,"Marquette, MI",Total,Total,Employment-to-Population Ratio,0.642671525,0,
2017,32100,"Marquette, MI",Total,Total,Employment-to-Population Ratio,0.653154075,0,
2018,32100,"Marquette, MI",Total,Total,Employment-to-Population Ratio,0.674706936,0,
2019,32100,"Marquette, MI",Total,Total,Employment-to-Population Ratio,0.67362076,0,
2009,32140,"Marshall, MN",Total,Total,Employment-to-Population Ratio,0.789238572,0,
2010,32140,"Marshall, MN",Total,Total,Employment-to-Population Ratio,0.815464795,0,
2011,32140,"Marshall, MN",Total,Total,Employment-to-Population Ratio,0.814443469,0,
2012,32140,"Marshall, MN",Total,Total,Employment-to-Population Ratio,0.791686237,0,
2013,32140,"Marshall, MN",Total,Total,Employment-to-Population Ratio,0.821369171,0,
2014,32140,"Marshall, MN",Total,Total,Employment-to-Population Ratio,0.823505402,0,
2015,32140,"Marshall, MN",Total,Total,Employment-to-Population Ratio,0.833232641,0,
2016,32140,"Marshall, MN",Total,Total,Employment-to-Population Ratio,0.812166393,0,
2017,32140,"Marshall, MN",Total,Total,Employment-to-Population Ratio,0.80452776,0,
2018,32140,"Marshall, MN",Total,Total,Employment-to-Population Ratio,0.78596884,0,
2019,32140,"Marshall, MN",Total,Total,Employment-to-Population Ratio,0.830820441,0,
2009,32180,"Marshall, MO",Total,Total,Employment-to-Population Ratio,0.712316632,0,
2010,32180,"Marshall, MO",Total,Total,Employment-to-Population Ratio,0.6791116,0,
2011,32180,"Marshall, MO",Total,Total,Employment-to-Population Ratio,0.696849883,0,
2012,32180,"Marshall, MO",Total,Total,Employment-to-Population Ratio,0.640028596,0,
2013,32180,"Marshall, MO",Total,Total,Employment-to-Population Ratio,0.674815059,0,
2014,32180,"Marshall, MO",Total,Total,Employment-to-Population Ratio,0.68116349,0,
2015,32180,"Marshall, MO",Total,Total,Employment-to-Population Ratio,0.638834119,0,
2016,32180,"Marshall, MO",Total,Total,Employment-to-Population Ratio,0.684368134,0,
2017,32180,"Marshall, MO",Total,Total,Employment-to-Population Ratio,0.695452154,0,
2018,32180,"Marshall, MO",Total,Total,Employment-to-Population Ratio,0.714551151,0,
2019,32180,"Marshall, MO",Total,Total,Employment-to-Population Ratio,0.714710355,0,
2009,32260,"Marshalltown, IA",Total,Total,Employment-to-Population Ratio,0.774623036,0,
2010,32260,"Marshalltown, IA",Total,Total,Employment-to-Population Ratio,0.76021719,0,
2011,32260,"Marshalltown, IA",Total,Total,Employment-to-Population Ratio,0.752385378,0,
2012,32260,"Marshalltown, IA",Total,Total,Employment-to-Population Ratio,0.796352863,0,
2013,32260,"Marshalltown, IA",Total,Total,Employment-to-Population Ratio,0.76488781,0,
2014,32260,"Marshalltown, IA",Total,Total,Employment-to-Population Ratio,0.759598613,0,
2015,32260,"Marshalltown, IA",Total,Total,Employment-to-Population Ratio,0.799940825,0,
2016,32260,"Marshalltown, IA",Total,Total,Employment-to-Population Ratio,0.817533374,0,
2017,32260,"Marshalltown, IA",Total,Total,Employment-to-Population Ratio,0.802889228,0,
2018,32260,"Marshalltown, IA",Total,Total,Employment-to-Population Ratio,0.780711234,0,
2019,32260,"Marshalltown, IA",Total,Total,Employment-to-Population Ratio,0.788709223,0,
2009,32280,"Martin, TN",Total,Total,Employment-to-Population Ratio,0.667753875,0,
2010,32280,"Martin, TN",Total,Total,Employment-to-Population Ratio,0.612452626,0,
2011,32280,"Martin, TN",Total,Total,Employment-to-Population Ratio,0.630519509,0,
2012,32280,"Martin, TN",Total,Total,Employment-to-Population Ratio,0.599302471,0,
2013,32280,"Martin, TN",Total,Total,Employment-to-Population Ratio,0.610033631,0,
2014,32280,"Martin, TN",Total,Total,Employment-to-Population Ratio,0.581515074,0,
2015,32280,"Martin, TN",Total,Total,Employment-to-Population Ratio,0.626383603,0,
2016,32280,"Martin, TN",Total,Total,Employment-to-Population Ratio,0.607958138,0,
2017,32280,"Martin, TN",Total,Total,Employment-to-Population Ratio,0.605138242,0,
2018,32280,"Martin, TN",Total,Total,Employment-to-Population Ratio,0.614514828,0,
2019,32280,"Martin, TN",Total,Total,Employment-to-Population Ratio,0.652787745,0,
2009,32300,"Martinsville, VA",Total,Total,Employment-to-Population Ratio,0.633268178,0,
2010,32300,"Martinsville, VA",Total,Total,Employment-to-Population Ratio,0.600979447,0,
2011,32300,"Martinsville, VA",Total,Total,Employment-to-Population Ratio,0.645289361,0,
2012,32300,"Martinsville, VA",Total,Total,Employment-to-Population Ratio,0.640490651,0,
2013,32300,"Martinsville, VA",Total,Total,Employment-to-Population Ratio,0.66209954,0,
2014,32300,"Martinsville, VA",Total,Total,Employment-to-Population Ratio,0.63636601,0,
2015,32300,"Martinsville, VA",Total,Total,Employment-to-Population Ratio,0.655236065,0,
2016,32300,"Martinsville, VA",Total,Total,Employment-to-Population Ratio,0.653968155,0,
2017,32300,"Martinsville, VA",Total,Total,Employment-to-Population Ratio,0.671664178,0,
2018,32300,"Martinsville, VA",Total,Total,Employment-to-Population Ratio,0.637576759,0,
2019,32300,"Martinsville, VA",Total,Total,Employment-to-Population Ratio,0.6875,0,
2009,32340,"Maryville, MO",Total,Total,Employment-to-Population Ratio,0.685548306,0,
2010,32340,"Maryville, MO",Total,Total,Employment-to-Population Ratio,0.66211772,0,
2011,32340,"Maryville, MO",Total,Total,Employment-to-Population Ratio,0.622977555,0,
2012,32340,"Maryville, MO",Total,Total,Employment-to-Population Ratio,0.694871604,0,
2013,32340,"Maryville, MO",Total,Total,Employment-to-Population Ratio,0.706527293,0,
2014,32340,"Maryville, MO",Total,Total,Employment-to-Population Ratio,0.700766325,0,
2015,32340,"Maryville, MO",Total,Total,Employment-to-Population Ratio,0.693771005,0,
2016,32340,"Maryville, MO",Total,Total,Employment-to-Population Ratio,0.741721869,0,
2017,32340,"Maryville, MO",Total,Total,Employment-to-Population Ratio,0.712274253,0,
2018,32340,"Maryville, MO",Total,Total,Employment-to-Population Ratio,0.693235278,0,
2019,32340,"Maryville, MO",Total,Total,Employment-to-Population Ratio,0.695536077,0,
2009,32380,"Mason City, IA",Total,Total,Employment-to-Population Ratio,0.799331009,0,
2010,32380,"Mason City, IA",Total,Total,Employment-to-Population Ratio,0.80659169,0,
2011,32380,"Mason City, IA",Total,Total,Employment-to-Population Ratio,0.772123516,0,
2012,32380,"Mason City, IA",Total,Total,Employment-to-Population Ratio,0.807865262,0,
2013,32380,"Mason City, IA",Total,Total,Employment-to-Population Ratio,0.767888725,0,
2014,32380,"Mason City, IA",Total,Total,Employment-to-Population Ratio,0.811208129,0,
2015,32380,"Mason City, IA",Total,Total,Employment-to-Population Ratio,0.819769681,0,
2016,32380,"Mason City, IA",Total,Total,Employment-to-Population Ratio,0.771195829,0,
2017,32380,"Mason City, IA",Total,Total,Employment-to-Population Ratio,0.82115984,0,
2018,32380,"Mason City, IA",Total,Total,Employment-to-Population Ratio,0.808896482,0,
2019,32380,"Mason City, IA",Total,Total,Employment-to-Population Ratio,0.808095872,0,
2009,32460,"Mayfield, KY",Total,Total,Employment-to-Population Ratio,0.650516272,0,
2010,32460,"Mayfield, KY",Total,Total,Employment-to-Population Ratio,0.644389808,0,
2011,32460,"Mayfield, KY",Total,Total,Employment-to-Population Ratio,0.661034822,0,
2012,32460,"Mayfield, KY",Total,Total,Employment-to-Population Ratio,0.645670354,0,
2013,32460,"Mayfield, KY",Total,Total,Employment-to-Population Ratio,0.665767729,0,
2014,32460,"Mayfield, KY",Total,Total,Employment-to-Population Ratio,0.666548073,0,
2015,32460,"Mayfield, KY",Total,Total,Employment-to-Population Ratio,0.671921611,0,
2016,32460,"Mayfield, KY",Total,Total,Employment-to-Population Ratio,0.660029471,0,
2017,32460,"Mayfield, KY",Total,Total,Employment-to-Population Ratio,0.652193725,0,
2018,32460,"Mayfield, KY",Total,Total,Employment-to-Population Ratio,0.680647254,0,
2019,32460,"Mayfield, KY",Total,Total,Employment-to-Population Ratio,0.691164315,0,
2009,32500,"Maysville, KY",Total,Total,Employment-to-Population Ratio,0.563579261,0,
2010,32500,"Maysville, KY",Total,Total,Employment-to-Population Ratio,0.554462254,0,
2011,32500,"Maysville, KY",Total,Total,Employment-to-Population Ratio,0.593234122,0,
2012,32500,"Maysville, KY",Total,Total,Employment-to-Population Ratio,0.55399549,0,
2013,32500,"Maysville, KY",Total,Total,Employment-to-Population Ratio,0.572647154,0,
2014,32500,"Maysville, KY",Total,Total,Employment-to-Population Ratio,0.576966941,0,
2015,32500,"Maysville, KY",Total,Total,Employment-to-Population Ratio,0.601373255,0,
2016,32500,"Maysville, KY",Total,Total,Employment-to-Population Ratio,0.615471721,0,
2017,32500,"Maysville, KY",Total,Total,Employment-to-Population Ratio,0.599362254,0,
2018,32500,"Maysville, KY",Total,Total,Employment-to-Population Ratio,0.602564096,0,
2019,32500,"Maysville, KY",Total,Total,Employment-to-Population Ratio,0.613891244,0,
2009,32540,"McAlester, OK",Total,Total,Employment-to-Population Ratio,0.608878493,0,
2010,32540,"McAlester, OK",Total,Total,Employment-to-Population Ratio,0.594579875,0,
2011,32540,"McAlester, OK",Total,Total,Employment-to-Population Ratio,0.577704072,0,
2012,32540,"McAlester, OK",Total,Total,Employment-to-Population Ratio,0.586730599,0,
2013,32540,"McAlester, OK",Total,Total,Employment-to-Population Ratio,0.607076705,0,
2014,32540,"McAlester, OK",Total,Total,Employment-to-Population Ratio,0.618584275,0,
2015,32540,"McAlester, OK",Total,Total,Employment-to-Population Ratio,0.61982733,0,
2016,32540,"McAlester, OK",Total,Total,Employment-to-Population Ratio,0.605795264,0,
2017,32540,"McAlester, OK",Total,Total,Employment-to-Population Ratio,0.63527602,0,
2018,32540,"McAlester, OK",Total,Total,Employment-to-Population Ratio,0.65312326,0,
2019,32540,"McAlester, OK",Total,Total,Employment-to-Population Ratio,0.622575939,0,
2009,32580,"McAllen-Edinburg-Mission, TX",Total,Total,Employment-to-Population Ratio,0.654744148,1,Large
2010,32580,"McAllen-Edinburg-Mission, TX",Total,Total,Employment-to-Population Ratio,0.629047394,1,Large
2011,32580,"McAllen-Edinburg-Mission, TX",Total,Total,Employment-to-Population Ratio,0.627548337,1,Large
2012,32580,"McAllen-Edinburg-Mission, TX",Total,Total,Employment-to-Population Ratio,0.611666024,1,Large
2013,32580,"McAllen-Edinburg-Mission, TX",Total,Total,Employment-to-Population Ratio,0.626971304,1,Large
2014,32580,"McAllen-Edinburg-Mission, TX",Total,Total,Employment-to-Population Ratio,0.622047067,1,Large
2015,32580,"McAllen-Edinburg-Mission, TX",Total,Total,Employment-to-Population Ratio,0.613550782,1,Large
2016,32580,"McAllen-Edinburg-Mission, TX",Total,Total,Employment-to-Population Ratio,0.643667161,1,Large
2017,32580,"McAllen-Edinburg-Mission, TX",Total,Total,Employment-to-Population Ratio,0.656609118,1,Large
2018,32580,"McAllen-Edinburg-Mission, TX",Total,Total,Employment-to-Population Ratio,0.657511175,1,Large
2019,32580,"McAllen-Edinburg-Mission, TX",Total,Total,Employment-to-Population Ratio,0.665721059,1,Large
2009,32620,"McComb, MS",Total,Total,Employment-to-Population Ratio,0.597796738,0,
2010,32620,"McComb, MS",Total,Total,Employment-to-Population Ratio,0.551557422,0,
2011,32620,"McComb, MS",Total,Total,Employment-to-Population Ratio,0.539130092,0,
2012,32620,"McComb, MS",Total,Total,Employment-to-Population Ratio,0.574292302,0,
2013,32620,"McComb, MS",Total,Total,Employment-to-Population Ratio,0.542339563,0,
2014,32620,"McComb, MS",Total,Total,Employment-to-Population Ratio,0.53373158,0,
2015,32620,"McComb, MS",Total,Total,Employment-to-Population Ratio,0.566153049,0,
2016,32620,"McComb, MS",Total,Total,Employment-to-Population Ratio,0.534899235,0,
2017,32620,"McComb, MS",Total,Total,Employment-to-Population Ratio,0.527666032,0,
2018,32620,"McComb, MS",Total,Total,Employment-to-Population Ratio,0.524188876,0,
2019,32620,"McComb, MS",Total,Total,Employment-to-Population Ratio,0.594186842,0,
2009,32660,"McMinnville, TN",Total,Total,Employment-to-Population Ratio,0.579484165,0,
2010,32660,"McMinnville, TN",Total,Total,Employment-to-Population Ratio,0.605294764,0,
2011,32660,"McMinnville, TN",Total,Total,Employment-to-Population Ratio,0.568838716,0,
2012,32660,"McMinnville, TN",Total,Total,Employment-to-Population Ratio,0.630558372,0,
2013,32660,"McMinnville, TN",Total,Total,Employment-to-Population Ratio,0.631379008,0,
2014,32660,"McMinnville, TN",Total,Total,Employment-to-Population Ratio,0.658855677,0,
2015,32660,"McMinnville, TN",Total,Total,Employment-to-Population Ratio,0.679189682,0,
2016,32660,"McMinnville, TN",Total,Total,Employment-to-Population Ratio,0.663310647,0,
2017,32660,"McMinnville, TN",Total,Total,Employment-to-Population Ratio,0.662890315,0,
2018,32660,"McMinnville, TN",Total,Total,Employment-to-Population Ratio,0.651878476,0,
2019,32660,"McMinnville, TN",Total,Total,Employment-to-Population Ratio,0.687027931,0,
2009,32700,"McPherson, KS",Total,Total,Employment-to-Population Ratio,0.744969189,0,
2010,32700,"McPherson, KS",Total,Total,Employment-to-Population Ratio,0.689190745,0,
2011,32700,"McPherson, KS",Total,Total,Employment-to-Population Ratio,0.771032631,0,
2012,32700,"McPherson, KS",Total,Total,Employment-to-Population Ratio,0.719761312,0,
2013,32700,"McPherson, KS",Total,Total,Employment-to-Population Ratio,0.766552985,0,
2014,32700,"McPherson, KS",Total,Total,Employment-to-Population Ratio,0.750290215,0,
2015,32700,"McPherson, KS",Total,Total,Employment-to-Population Ratio,0.739255548,0,
2016,32700,"McPherson, KS",Total,Total,Employment-to-Population Ratio,0.730991066,0,
2017,32700,"McPherson, KS",Total,Total,Employment-to-Population Ratio,0.760919273,0,
2018,32700,"McPherson, KS",Total,Total,Employment-to-Population Ratio,0.757526398,0,
2019,32700,"McPherson, KS",Total,Total,Employment-to-Population Ratio,0.726475418,0,
2009,32740,"Meadville, PA",Total,Total,Employment-to-Population Ratio,0.64888674,0,
2010,32740,"Meadville, PA",Total,Total,Employment-to-Population Ratio,0.655335665,0,
2011,32740,"Meadville, PA",Total,Total,Employment-to-Population Ratio,0.659979284,0,
